isbn,main author
9781859855423,Max Lucado 
9780064471831,Garth Nix 
9780375414497,Abraham Verghese 
9780060638504,Martin Heidegger
9781582349909,Shannon Hale 
9780312181109,Dodie Smith
B00139VU7E,Randy Pausch
B00DB2YN0C,Tahereh Mafi
9780811214049,Tennessee Williams
9780743482776,William Shakespeare
9781423157373,Alexandra Bracken 
9780312305062,Michael Cunningham 
9780525618737,Diana Gabaldon 
9780061214653,Melissa Marr 
9780786890750,Cecelia Ahern
9781619636040,Sarah J. Maas 
9780312379827,P.C. Cast 
9781561797462,Charles Dickens
9780743477567,William Shakespeare
9780451450524,Peter S. Beagle 
9780060885373,Laura Ingalls Wilder
9780553283686,Dan Simmons
9780375706677,Cormac McCarthy
9780812474947,Barbara Kingsolver
9780545424929,Maggie Stiefvater 
9780439206471,Lemony Snicket 
9780451528926,Edmond Rostand
9780812550757,Orson Scott Card
9780142401200,Ellen Raskin
9780618101368,Jhumpa Lahiri
9781423113386,Rick Riordan 
9780316055437,Donna Tartt
9780156004800,Robert Penn Warren
9780198320272,William Shakespeare
9781982205683,Diamante Lavendar 
9780553213140,L.M. Montgomery
9780765326263,W. Bruce Cameron 
9780802139252,Leif Enger
9780061124297,Lionel Shriver 
9781406361803,Patrick Ness
9780684853154,Iain Banks
9781590302255,Sun Tzu
9780778324331,Maria V. Snyder 
9780316341516,Edith Hamilton
9780618346264,J.R.R. Tolkien
9780374529529,Aleksandr Solzhenitsyn
9780345419620,Anne Rice
9780842342704,Tim LaHaye
9780142001806,Jasper Fforde 
9780375856112,Christopher Paolini 
9780061726811,Lauren Oliver 
9780375507779,Stephen King 
9780525422945,Gayle Forman 
9780007202300,C.S. Lewis
9780143037149,Kim Edwards 
9780763676186,Patrick Ness
9780385341677,Karen Marie Moning 
9780061448768,Michael Grant 
9780060837563,Richard Wright
9780345465085,Laura Hillenbrand
9780345348104,Michael Shaara
9780156032971,Umberto Eco
9780385738750,James Dashner 
9780385339155,Karen Marie Moning 
9780393328622,Nicole Krauss
9780088619451,Italo Calvino
9780689865398,Scott Westerfeld 
9780752864327,Robert Ludlum
9780765326362,Brandon Sanderson 
9780679735908,A.S. Byatt
9780143039945,Thomas Pynchon
9780060838652,Howard Zinn
9780312865047,Richard Matheson
9780553380163,Stephen Hawking
9781580495936,Sophocles
9780312642969,Marissa Meyer 
9780689878558,Tamora Pierce 
9780743223133,David McCullough
9780312362089,Janet Evanovich 
9780553383041,Ursula K. Le Guin
9781408816035,Madeline Miller 
9780451222350,J.R. Ward 
9780399256776,Marie Lu 
9780143039983,Shirley Jackson
9780553573398,Robin Hobb 
9780803734968,Jandy Nelson 
9780307593313,Haruki Murakami
9780399231902,Clement C. Moore
9780486298573,Charlotte Perkins Gilman
9780316296199,John Fowles
9780385721677,Margaret Atwood 
9781905654581,P.C. Cast 
9780312642976,Marissa Meyer 
9780385537858,Dan Brown 
9780385340397,Diana Gabaldon 
9780552154307,Terry Pratchett
9780375725784,Dave Eggers
9780061124266,Paulo Coelho 
B000JMKNJ2,Scott Lynch 
9781842430354,Tom Robbins
9780061120664,Henri Charrière
9780060959036,Barbara Kingsolver
