,0,1,2,3,4,5,6
Anna Todd , (1989-03-20) March 20, 1989 (age 33)Dayton, Ohio, U.S.,,,
Chloe Benjamin ,San Francisco, California,,,,,
Philip Pullman, (1946-10-19) 19 October 1946 (age 76)Norwich, England,,,,,
Tia Shurina ,n,o,n,e,,,
Ashley Herring Blake ,English,,,,,,
Phil Knight,Philip Hampson Knight (1938-02-24) February 24, 1938 (age 84)Portland, Oregon, U.S.,,,
Veronica Roth ,Veronica Anne Roth[1] (1988-08-19) August 19, 1988 (age 34)New York City, New York, U.S.,,,
Robert G. Williscroft ,n,o,n,e,,,
John Grisham ,John Ray Grisham Jr. (1955-02-08) February 8, 1955 (age 67)Jonesboro, Arkansas, U.S.,,,
Brittainy C. Cherry ,n,o,n,e,,,
Jenny Lawson ,Journalist, blogger,,,,,
Mary E. Pearson , (1955-08-14) August 14, 1955 (age 67)Southern California,,,,,
Robert Galbraith,n,o,n,e,,,
David Lagercrantz, (1962-09-04) 4 September 1962 (age 60)Solna, Sweden,,,,,
A.G. Howard ,n,o,n,e,,,
Elizabeth Strout,Elizabeth Strout (1956-01-06) January 6, 1956 (age 66)[1]Portland, Maine, U.S.,,,
Tayari Jones , (1970-11-30) November 30, 1970 (age 52)Atlanta, Georgia, U.S.,,,
Winston Graham,(1908-06-30)30 June 1908Victoria Park, Manchester, England,,,,
Graeme Simsion ,1956Auckland, New Zealand,,,,,
Sarah Dessen ,Sarah Dessen (1970-06-06) June 6, 1970 (age 52)Evanston, Illinois, U.S.,,,
Pernell Plath Meier ,n,o,n,e,,,
Andrew Mayne ,n,o,n,e,,,
Kimberly Lauren ,n,o,n,e,,,
Georgia Hunter ,n,o,n,e,,,
Matthew D. Dho ,n,o,n,e,,,
Alexandra Christo ,n,o,n,e,,,
Robert Thier,n,o,n,e,,,
Nikki Sex ,n,o,n,e,,,
Anna Gallegos ,n,o,n,e,,,
Greer Hendricks ,n,o,n,e,,,
Claire Morgan , (1980-08-17) 17 August 1980 (age 42)Belfast, Northern Ireland,,,,,
Amit Ray, (1960-08-12) 12 August 1960 (age 62)India,,,,,,
Sylvain Neuvel ,1973Quebec City, Quebec,,,,,
Adrian Tchaikovsky , (1972-06-04) 4 June 1972 (age 50)Woodhall Spa, Lincolnshire, England, United Kingdom,,,
Michael Connelly , (1956-07-21) July 21, 1956 (age 66)Philadelphia, Pennsylvania, U.S.,,,
Hilary Davidson ,n,o,n,e,,,
Kimber Lee ,Kimberly Ann Frankele[1][2],,,,,,
Nnedi Okorafor ,Nnedimma Nkemdili Okorafor (1974-04-08) April 8, 1974 (age 48)Cincinnati, Ohio, U.S.,,,
Mark Lawrence ,n,o,n,e,,,
Robin Benway ,New York University,  University of California at Los Angeles,,,,,
Riley Sager ,Riley SagerAlan Finn,,,,,,
Ocean Vuong,Vương Quốc Vinh[1] (1988-10-14) October 14, 1988 (age 34)Hồ Chí Minh City, Vietnam,,,,
Tommy Orange , (1982-01-19) January 19, 1982 (age 40)Oakland, California, U.S.,,,
Cecelia Ahern, (1981-09-30) 30 September 1981 (age 41)Dublin, Ireland,,,,,
Martha Hall Kelly ,n,o,n,e,,,
