,0,1,2,3,4,5,6
Tony Reinke ,n,o,n,e,,,
Dani Shapiro ,Daneile Shapiro (1962-04-10) April 10, 1962 (age 60)New York City, United States,,,,
Shaun Bythell,n,o,n,e,,,
Gabrielle S. Prendergast ,n,o,n,e,,,
Lara Prior-Palmer,n,o,n,e,,,
Caroline Criado Perez,Caroline Emma Criado Perez1984 (age 37–38)Brazil,,,,,,
Lisa Jenn Bigelow ,n,o,n,e,,,
April Henry ,April Henry (1959-04-19) April 19, 1959 (age 63)Medford, Oregon, United States,,,
Julie James ,Mark Drakeford,,,,,,
Ronan Farrow,Satchel Ronan O'Sullivan Farrow (1987-12-19) December 19, 1987 (age 35)New York City, U.S.,,,,
Ann Braden ,n,o,n,e,,,
Eugene Rogan,Eugene Lawrence Rogan (1960-10-31) October 31, 1960 (age 62)Burbank, California,,,,
Brent Schlender ,n,o,n,e,,,
NisiOisiN,1981 (age 40–41)Japan,,,,,,
Jo Empson,n,o,n,e,,,
Michelle Miller, (1967-12-08) December 8, 1967 (age 55)Los Angeles, California, U.S.,,,
Tim Marshall,n,o,n,e,,,
E.K. Johnston ,Emily Kate JohnstonHuron East, Ontario, Canada[1],,,,
Sarah Morgan ,n,o,n,e,,,
Aka Akasaka, (1988-08-29) August 29, 1988 (age 34)Sado, Niigata, Japan,,,
Rahna Reiko Rizzuto ,n,o,n,e,,,
Elizabeth Hunter ,Clarissa House,,,,,,
Myriam Gurba ,Artist and writer,,,,,,
You-Jeong Jeong,Jeong You Jeong (1966-08-15) August 15, 1966 (age 56),,,,,
Cecilia Galante,Mount Hope Commune, New York,,,,,
Tom Leveen ,n,o,n,e,,,
Dan Crenshaw,Ted Poe,,,,,,
Anna Mocikat ,n,o,n,e,,,
Caleb Krisp,n,o,n,e,,,
Margaret Dilloway ,http://www.margaretdilloway.com,,,,,,
Sarah Tolcser ,n,o,n,e,,,
Emma Doherty ,n,o,n,e,,,
Audrey Greathouse ,n,o,n,e,,,
John Patrick Kennedy ,n,o,n,e,,,
Ernesto Cisneros ,"
Ernesto Cisneros Salcedo",,,,,,
John David Anderson ,John David Anderson(1975-05-21)May 21, 1975Indianapolis, Indiana, U.S.,,,
Robin Stevens ,Robin Gordon Stevens (1960-01-30) 30 January 1960 (age 62)Chorleywood, Hertfordshire, England,,,,
Nilakshi Garg ,n,o,n,e,,,
Gareth Ryder-Hanrahan ,Irish,,,,,,
Abi Elphinstone ,n,o,n,e,,,
Lucy Score ,n,o,n,e,,,
Núria Añó, (1973-02-10) 10 February 1973 (age 49)Lleida, Catalonia, Spain,,,,
Natasha Preston ,n,o,n,e,,,
Kekla Magoon ,1980 (age 41–42)Michigan, U.S.,,,,,
Emma Donoghue , (1969-10-24) 24 October 1969 (age 53)Dublin, Ireland,,,,,
Joan Livingston ,n,o,n,e,,,
Wendy Heard ,n,o,n,e,,,
K.M. Shea ,n,o,n,e,,,
Vladimir Nabokov,Владимир Набоков,,,,,,
Paul Pen ,n,o,n,e,,,
Lesley Pearse, (1945-02-24) February 24, 1945 (age 77)U.K.,,,,,
Fanny Lee Savage ,n,o,n,e,,,
Julia Harlow ,n,o,n,e,,,
Brian McGoldrick ,n,o,n,e,,,
John Ferak ,n,o,n,e,,,
Damian Wampler,n,o,n,e,,,
Sarah Robinson ,n,o,n,e,,,
Bella Andre ,Novelist,,,,,,
Kanata Konami, (1958-07-03) 3 July 1958 (age 64)Nagano Prefecture,,,,,,
Corinne Michaels ,n,o,n,e,,,
Wajdy Mustafa ,n,o,n,e,,,
Annie Jacobsen , (1967-06-28) June 28, 1967 (age 55)Middletown, Connecticut, U.S.,,,
Debbie Howells ,n,o,n,e,,,
Colleen Chen ,n,o,n,e,,,
Ambriehl Khalil ,n,o,n,e,,,
Mo Yan,莫言,,,,,,
Milan Kundera, (1929-04-01) 1 April 1929 (age 93)Brno, Czechoslovakia(present-day Czech Republic),,,,,
Vernor Vinge,Vernor Steffen Vinge (1944-10-02) October 2, 1944 (age 78)Waukesha, Wisconsin, US,,,
T.D. Jakes,Thomas Dexter Jakes (1957-06-09) June 9, 1957 (age 65)South Charleston, West Virginia, U.S.,,,
Trista Mateer ,n,o,n,e,,,
Gavin Aung Than,n,o,n,e,,,
Jeff Menapace ,n,o,n,e,,,
Nicole Zoltack ,n,o,n,e,,,
Sławomir Mrożek,(1930-06-29)29 June 1930Borzęcin, Poland,,,,,
Will Walton,n,o,n,e,,,
Chen Guangcheng, (1971-11-12) November 12, 1971 (age 51)Dongshigu, Yinan County, Shandong, China,,
Gustav Meyrink,Gustav Meyer(1868-01-19)19 January 1868Vienna, Austria-Hungary (now Austria),,,,,
Sean Carroll ,n,o,n,e,,,
David Tallerman ,n,o,n,e,,,
Caroline Roberts ,n,o,n,e,,,
J.L. Rose,n,o,n,e,,,
Paul Griffin ,n,o,n,e,,,
A.S. Patric ,n,o,n,e,,,
Lola Hale,n,o,n,e,,,
Susan Barker ,1978,,,,,,
Alison G. Bailey ,n,o,n,e,,,
Suzanne Wright ,1968 (age 53–54)New London, Connecticut, USA,,,,
Austin Chant ,n,o,n,e,,,
Jeff Wheeler ,n,o,n,e,,,
Ben H. Winters ,June 14, 1976Maryland, U.S.,,,,
Louise Penny ,Toronto, Ontario, Canada,,,,
Geoff Rodkey ,Geoffrey William Rodkey (1970-09-09) September 9, 1970 (age 52)[citation needed]Freeport, Illinois, USA,,,
Gregory V. Diehl ,n,o,n,e,,,
Heidi Cullinan ,n,o,n,e,,,
K.M. Pohlkamp ,n,o,n,e,,,
Scott Thomas,n,o,n,e,,,
Sierra Hill ,n,o,n,e,,,
Carl Safina , (1955-05-23) May 23, 1955 (age 67)Brooklyn, New York, U.S.,,,
Lisa Gardner ,1972,,,,,,
Penny Young Nance,n,o,n,e,,,
Rin Chupeco ,Manila, Philippines,,,,,
Naoshi Arakawa,Japanese,,,,,,
Courtney Alameda ,n,o,n,e,,,
Pepper Winters ,n,o,n,e,,,
Sophie Schiller ,n,o,n,e,,,
Akiko Higashimura, (1975-10-15) October 15, 1975 (age 47)Kushima, Miyazaki, Japan,,,
Rhett McLaughlin ,Rhett James McLaughlin (1977-10-11) October 11, 1977 (age 45)Macon, Georgia, U.S.Charles Lincoln Neal III (1978-06-01) June 1, 1978 (age 44)Boone Trail, North Carolina, U.S.
Julie Israel ,n,o,n,e,,,
RuRyan,n,o,n,e,,,
Gwendolyn Clare ,n,o,n,e,,,
Stephen Aryan ,n,o,n,e,,,
Emily P. Freeman ,n,o,n,e,,,
Luke Pearson , (1987-10-12) 12 October 1987 (age 35)Stockton-on-Tees, County Durham, England,,,,
Jean Kwok ,Hong Kong,,,,,,
Dan Gemeinhart ,n,o,n,e,,,
Amelia Faulkner ,n,o,n,e,,,
Lori Lansens ,July 25, 1962Chatham, Ontario,,,,
Clinchandhill ,n,o,n,e,,,
Heather Kaczynski ,n,o,n,e,,,
Gary J. Byrne,Gary J. Byrne with Grant M. Schmidt,,,,,,
Jennifer Lynn Alvarez ,n,o,n,e,,,
Christopher Klein ,n,o,n,e,,,
Natsume Akatsuki,Echizen, Fukui Prefecture, Japan,,,,
Brianna Wiest ,n,o,n,e,,,
Holly Jacobs ,n,o,n,e,,,
Sheryl Scarborough ,n,o,n,e,,,
Sue Klebold,Susan Francis Yassenoff (1949-03-25) March 25, 1949 (age 73)Columbus, Ohio, U.S.,,,
Daniela Petrova ,n,o,n,e,,,
Kiese Laymon ,Jackson, Mississippi,,,,,
Leah Thomas ,n,o,n,e,,,
Pat Barker,Patricia Mary W. Drake (1943-05-08) 8 May 1943 (age 79)Thornaby-on-Tees, North Riding of Yorkshire, England,,,,
Jared Reck ,n,o,n,e,,,
Aleron Kong ,n,o,n,e,,,
Marie Graßhoff ,n,o,n,e,,,
Martin Ford,n,o,n,e,,,
Laurel Anne Hill ,n,o,n,e,,,
Kelsey Miller ,n,o,n,e,,,
Bob Goff, (1959-02-22) February 22, 1959 (age 63)California,,,,,
Robert Iger,Robert Allen Iger (1951-02-10) February 10, 1951 (age 71)New York City, U.S.,,,,
Kory Stamper ,Smith College,,,,,,
Iona Grey ,n,o,n,e,,,
Jayant Kaikini, (1954-01-24) 24 January 1954 (age 68)[citation needed]Gokarna,,,,,,
Rebekah Crane ,n,o,n,e,,,
Fox Benwell ,n,o,n,e,,,
Steve Orlando ,American,,,,,,
Romina Russell ,n,o,n,e,,,
Vicky Beeching,Victoria Louise Beeching (1979-07-17) 17 July 1979 (age 43)Canterbury, Kent, England[1],,,,
Jason Anspach ,n,o,n,e,,,
Negi Haruba, (1991-07-27) July 27, 1991 (age 31)Japan,,,,,
Chris Riddell , (1962-04-13) 13 April 1962 (age 60)Cape Town, South Africa,,,,,
Samuel Miller,n,o,n,e,,,
M.T. Edvardsson ,n,o,n,e,,,
Jessica Simpson,Jessica Ann Simpson (1980-07-10) July 10, 1980 (age 42)Abilene, Texas, USA,,,
Gregg Andrew Hurwitz ,n,o,n,e,,,
Aaron-Michael Hall ,n,o,n,e,,,
W. Bruce Cameron ,William Bruce Cameron (1956-07-25) July 25, 1956 (age 66),,,,,
Peter Raymundo,n,o,n,e,,,
Anthony Bidulka ,July 24, 1962Prud'homme, Saskatchewan, Canada,,,
Jia Tolentino ,1988 (age 33–34)Toronto, Ontario, Canada,,,,
A.J. Hackwith ,n,o,n,e,,,
Nio Nakatani,November 25th[1][a]Shiga, Japan,,,,,
K. Sterling ,n,o,n,e,,,
Katie Henry ,Vernon Township, New Jersey, United States,,,,
Robin DiAngelo,Robin Jeanne Taylor (1956-09-08) September 8, 1956 (age 66),,,,,
Rebecca Roanhorse ,Rebecca Parish[1]March 14, 1971Conway, Arkansas[2],,,,
Tucker Carlson ,Tucker McNear Carlson[1] (1969-05-16) May 16, 1969 (age 53)San Francisco, California, U.S.,,,
F.C. Yee ,n,o,n,e,,,
Tess Sharpe ,n,o,n,e,,,
Maurene Goo ,Los Angeles, California, U.S.,,,,
William Meikle ,n,o,n,e,,,
Jessica Ruddick ,n,o,n,e,,,
Rivers Solomon ,1989 (age 32–33)[1]California, U.S.,,,,,
K.C. Kean ,n,o,n,e,,,
Alex Hirsch,Alexander Robert Hirsch (1985-06-18) June 18, 1985 (age 37)Piedmont, California, U.S.,,,
Matilda Woods ,n,o,n,e,,,
Kimberly Jones,https://www.kimjoneswrites.com/ ,,,,,,
Steve Moore ,n,o,n,e,,,
David Baddiel,David Lionel Baddiel,,,,,,
C.M. Owens ,n,o,n,e,,,
Charlie Higson,Charles Murray Higson (1958-07-03) 3 July 1958 (age 64)Frome, Somerset, England,,,,
Joe Abercrombie,Joseph Edward Abercrombie (1974-12-31) 31 December 1974 (age 47)Lancaster, Lancashire, England,,,,
Neil Turok,Neil Geoffrey Turok (1958-11-16) 16 November 1958 (age 64)Johannesburg, South Africa,,,,,
Kelly Creagh ,n,o,n,e,,,
Sarah Mlynowski , (1977-01-04) January 4, 1977 (age 45)Montreal, Quebec,,,,
Emma Hooper ,n,o,n,e,,,
Dahlia Adler ,New York City,,,,,,
John Temple ,n,o,n,e,,,
David O'Sullivan ,n,o,n,e,,,
A.J. Waines ,n,o,n,e,,,
Jack L. Pyke ,n,o,n,e,,,
Katie Alender ,n,o,n,e,,,
Lemony Snicket ,The Bad Beginning,,,,,,
Jonathan Lee ,n,o,n,e,,,
Brenda Ashworth Barry,n,o,n,e,,,
Renee Ericson ,n,o,n,e,,,
John Burnside,n,o,n,e,,,
Theron Q. Dumont,(1862-12-05)December 5, 1862Baltimore, Maryland,,,,
Kim Gordon,Kim Althea Gordon (1953-04-28) April 28, 1953 (age 69)Rochester, New York, U.S.,,,
Cambria Hebert ,n,o,n,e,,,
Jeff Lemire , (1976-03-21) March 21, 1976 (age 46)Essex County, Ontario, Canada,,,
Prabhu Dayal ,n,o,n,e,,,
Jessica Clare ,n,o,n,e,,,
Louisa May Alcott,(1832-11-29)November 29, 1832Germantown, Philadelphia, U.S.,,,
Victoria Laurie ,n,o,n,e,,,
Heather Burch ,n,o,n,e,,,
Sarah Schulman, (1958-07-28) July 28, 1958 (age 64)New York City, New York, United States,,,
Mark Montgomery ,n,o,n,e,,,
Emilio D'Alessandro,n,o,n,e,,,
Jay McLean ,San Francisco, California, United States,,,,
Kayla Cagan ,n,o,n,e,,,
Stephanie Oakes ,n,o,n,e,,,
Chris Bohjalian , (1962-08-12) August 12, 1962 (age 60)[1]White Plains, New York,,,,
Abigail Roux ,n,o,n,e,,,
Karen Gregory ,n,o,n,e,,,
Edward Fallon,n,o,n,e,,,
Ernest Gordon Taulbee ,n,o,n,e,,,
Mike Maden ,1960 (age 61–62)Antioch, California, U.S.,,,,
Casey Watson,n,o,n,e,,,
Heather Young ,n,o,n,e,,,
Maude Julien,n,o,n,e,,,
Eowyn Ivey ,1973 (age 48–49)[1],,,,,,
Debbie Macomber , (1948-10-22) October 22, 1948 (age 74)Yakima, Washington, United States,,,
Roz Nay ,Canadian,,,,,,
Martha Brockenbrough ,Martha Elizabeth BrockenbroughSeattle, Washington,,,,,
Sarah Weeks, (1955-03-18) March 18, 1955 (age 67)Ann Arbor, Michigan, US,,,
Ezekiel Boone ,n,o,n,e,,,
Harper Lin ,n,o,n,e,,,
Maggie Smith ,Margaret Natalie Smith[1][2] (1934-12-28) 28 December 1934 (age 87)Ilford, Essex, England,,,,
T.M. Logan ,n,o,n,e,,,
Lisa McInerney,Lisa McInerney15 August 1981Ireland,,,,,,
C.V. Wyk ,n,o,n,e,,,
Iain Pears,n,o,n,e,,,
Anna-Marie Crowhurst,n,o,n,e,,,
Stephanie Danler ,1983 (age 38–39),,,,,,
Jill Shalvis ,United States,,,,,,
Emily X.R. Pan ,Illinois,,,,,,
Laurent Gounelle,n,o,n,e,,,
Scarlet Beriko,n,o,n,e,,,
Adrienne Young ,Tallahassee, Florida, United States,,,,
Yoav Blum ,n,o,n,e,,,
Katherine Woodfine ,n,o,n,e,,,
Laura Martin ,Laura DePuy (1975-09-15) 15 September 1975 (age 47)Bogotá, Colombia,,,,,
Ruth Hogan ,n,o,n,e,,,
Joan He ,n,o,n,e,,,
Jennifer E. Smith ,n,o,n,e,,,
Annie Proulx,Edna Ann Proulx (1935-08-22) August 22, 1935 (age 87)Norwich, Connecticut, U.S.,,,
Anne Zoelle ,n,o,n,e,,,
Kate Mulgrew,Katherine Kiernan Maria Mulgrew (1955-04-29) April 29, 1955 (age 67)Dubuque, Iowa, U.S.,,,
Jennifer A. Doudna,Jennifer Anne Doudna (1964-02-19) February 19, 1964 (age 58)Washington, D.C., U.S.,,,
Corban Addison ,n,o,n,e,,,
Rana Awdish ,Michigan, United States,,,,,
L.E. Parker ,n,o,n,e,,,
Emily A. Duncan ,n,o,n,e,,,
Erin Nations,n,o,n,e,,,
Steve Cavanagh ,n,o,n,e,,,
Louise Simonson,Mary Louise Alexander (1946-09-26) September 26, 1946 (age 76)Atlanta, Georgia, United States,,,
Sandhya Menon ,India,,,,,,
Arundhati Roy ,Suzanna Arundhati Roy (1961-11-24) 24 November 1961 (age 61)[1]Shillong, Assam (present-day Meghalaya), India,,,,
Tom Michell ,n,o,n,e,,,
Michelle Willingham ,n,o,n,e,,,
Jon McGregor,Jon McGregor1976 (age 45–46)Bermuda[1],,,,,,
Nicolette Polek ,n,o,n,e,,,
Julian Fellowes,Julian Alexander Fellowes (1949-08-17) 17 August 1949 (age 73)Cairo, Kingdom of Egypt,,,,,
Tim Seeley ,American,,,,,,
William H. McRaven ,Francisco G. Cigarroa,,,,,,
Jory John,n,o,n,e,,,
Diane Chamberlain ,United States,,,,,,
Tyehimba Jess,1965 (age 56–57)Detroit, Michigan, USA,,,,
Megan Miranda ,n,o,n,e,,,
Jonathan Yanez ,n,o,n,e,,,
Svetlana Chmakova , (1979-10-07) October 7, 1979 (age 43)Russian SFSR, Soviet Union,,,,
David Yoon ,n,o,n,e,,,
Cherie Dimaline, (1975-07-02) 2 July 1975 (age 47),,,,,,
Chigozie Obioma ,1986 (age 35–36)[1]Akure, Nigeria,,,,,
Mary Oliver,(1935-09-10)September 10, 1935Maple Heights, Ohio, U.S.,,,
Gary Green ,n,o,n,e,,,
Jonathan Latt ,n,o,n,e,,,
Nathan W. Pyle,n,o,n,e,,,
Elizabeth Klehfoth ,n,o,n,e,,,
Patrick deWitt,1975 (age 46–47)Sidney, British Columbia,,,,,
E. Michael Jones,n,o,n,e,,,
Nicole Krauss, (1974-08-18) August 18, 1974 (age 48)Manhattan, New York City, United States,,,
Kate Elizabeth Russell,n,o,n,e,,,
M.C. Ross,n,o,n,e,,,
Hiromi Takashima,n,o,n,e,,,
Martin Cruz Smith,Martin William Smith (1942-11-03) November 3, 1942 (age 80)Reading, Pennsylvania, United States,,,
Tarjei Vesaas,(1897-08-20)August 20, 1897Vinje, Telemark, Norway,,,
Francesco Marciuliano,August 1967 (age 55)[1],,,,,,
Alex North ,Isadore Soifer,,,,,,
K.A. Tucker ,n,o,n,e,,,
Lani Lynn Vale ,n,o,n,e,,,
Timothy Zahn , (1951-09-01) September 1, 1951 (age 71)Chicago, Illinois, U.S.,,,
Dani Hoots ,n,o,n,e,,,
Kara Swanson ,n,o,n,e,,,
Christie Golden, (1963-11-21) November 21, 1963 (age 59)[1][2]Atlanta, Georgia, USA,,,
Karen Schaler ,n,o,n,e,,,
Big Hit Entertainment,빅히트 뮤직,,,,,,
Brandon Taylor,n,o,n,e,,,
Sandra Brown , (1948-03-12) March 12, 1948 (age 74)Waco, Texas, U.S.,,,
Susanna Clarke,Susanna Mary Clarke (1959-11-01) 1 November 1959 (age 63)Nottingham, England,,,,,
Orna Donath,Orna Donath(1976-10-15)October 15, 1976Ramat Ha-Sharon, Tel Aviv District, Israel,,,
Charlie Tyler ,n,o,n,e,,,
Clifford D. Simak,Clifford Donald Simak(1904-08-03)August 3, 1904Millville, Wisconsin, U.S.,,,
Melissa Landers , (1973-06-13) June 13, 1973 (age 49),,,,,
Saiber ,n,o,n,e,,,
Sandra Byrd ,n,o,n,e,,,
Gonzalo Giner,n,o,n,e,,,
Natasha Boyd ,n,o,n,e,,,
Shari Arnold ,n,o,n,e,,,
Nicole Maggi ,n,o,n,e,,,
Kim Fielding ,n,o,n,e,,,
Jennifer Ryan ,n,o,n,e,,,
Michael Wood ,n,o,n,e,,,
Alex Segura ,n,o,n,e,,,
Jun Mochizuki,December 22Kanagawa Prefecture, Japan,,,,,
River Mitchell ,n,o,n,e,,,
Ann Morgan ,n,o,n,e,,,
Shelley Noble ,n,o,n,e,,,
Kirsty Logan , (1984-03-13) 13 March 1984 (age 38),,,,,,
Irma Joubert, (1947-08-28) August 28, 1947 (age 75),,,,,
Tamara Philip ,n,o,n,e,,,
Leonard Mlodinow,November 26, 1954Chicago, Illinois,,,,
Jacqueline E. Smith ,n,o,n,e,,,
Melissa Brayden ,n,o,n,e,,,
Lara Deloza ,n,o,n,e,,,
J. Daniels ,n,o,n,e,,,
Johnnie Alexander ,n,o,n,e,,,
Luke G. Williams,n,o,n,e,,,
Claire Fuller , (1967-02-09) 9 February 1967 (age 55)Oxfordshire, England,,,,,
L. Frank Baum,Lyman Frank Baum(1856-05-15)May 15, 1856Chittenango, New York, U.S.,,,
Megan Derr ,n,o,n,e,,,
Patti Smith ,Patricia Lee Smith,,,,,,
Matt Taibbi, (1970-03-02) March 2, 1970 (age 52)New Brunswick, New Jersey, U.S.,,,
Patrick Holland ,n,o,n,e,,,
Ciana Stone ,n,o,n,e,,,
Steven Lochran ,n,o,n,e,,,
L.P. Maxa ,n,o,n,e,,,
Amanda Bouchet ,n,o,n,e,,,
Emily Ann Putzke ,n,o,n,e,,,
Jackson Wright Shultz ,n,o,n,e,,,
Lucy Diamond,n,o,n,e,,,
Karen Marie Moning ,November 1, 1964Cincinnati, Ohio, United States,,,
Dale Mayer ,n,o,n,e,,,
Kim Stanley Robinson, (1952-03-23) March 23, 1952 (age 70)Waukegan, Illinois, U.S.,,,
Eli Easton ,Jane Elizabeth Smith (1963-01-28) January 28, 1963 (age 59)Palmerton, Pennsylvania, U.S.,,,
Hannah Hart,Hannah Maud Hart (1986-11-02) November 2, 1986 (age 36)Palo Alto, California, U.S.,,,
Hanif Abdurraqib, (1983-08-25) August 25, 1983 (age 39)Columbus, Ohio, U.S.,,,
T. Greenwood ,n,o,n,e,,,
Stephen Moles ,n,o,n,e,,,
Tim Waggoner ,n,o,n,e,,,
Cara Hunter ,John Dallat,,,,,,
Pete Souza,Barack Obama,,,,,,
Loretta Nyhan ,n,o,n,e,,,
Douglas Preston ,Douglas Jerome Preston (1956-05-20) May 20, 1956 (age 66)Cambridge, Massachusetts,,,,
Jordan Sonnenblick, (1969-07-04) July 4, 1969 (age 53)Fort Leonard Wood, Missouri,,,,
Phil Hogan ,Ursula von der Leyen,,,,,,
Pénélope Bagieu, (1982-01-22) 22 January 1982 (age 40),,,,,,
MJ Beaufrand,n,o,n,e,,,
Erika L. Sánchez,1983/1984 (age 38–39),,,,,,
Jenny Frame ,n,o,n,e,,,
Alice Feeney ,n,o,n,e,,,
Rae Carson,n,o,n,e,,,
Penny Reid ,n,o,n,e,,,
Giles Milton,15 January 1966Buckinghamshire, England,,,,,
Brian Doyle,n,o,n,e,,,
Xenia Melzer ,n,o,n,e,,,
Alan Gratz, (1972-01-27) January 27, 1972 (age 50)Knoxville, Tennessee, U.S.,,,
Lara Prescott ,n,o,n,e,,,
Alexander Masters,n,o,n,e,,,
Kelly Oliver ,July 28, 1958,,,,,
Erica Bauermeister ,n,o,n,e,,,
Carlos Busqued,n,o,n,e,,,
Hiromi Kawakami,1958 (age 63–64)Tokyo, Japan,,,,,
Garrard Conley ,1984/1985 (age 37–38)United States,,,,,,
Andrew Roberts,n,o,n,e,,,
Sara Holland ,n,o,n,e,,,
Peter Frankopan, (1971-03-22) 22 March 1971 (age 51)England,,,,,,
Linda Holmes ,Phyllis Petka,,,,,,
Miman, Iran,,,,,,
Chetan Bhagat,Chetan Prakash Bhagat (1974-04-22) 22 April 1974 (age 48)Delhi, India,,,,,
Julia Heaberlin ,n,o,n,e,,,
Clemantine Wamariya ,1988 (age 33–34)Kigali, Rwanda,,,,,
C.S. Lewis,Clive Staples Lewis(1898-11-29)29 November 1898Belfast, Ireland,,,,,
K. Webster ,n,o,n,e,,,
Garth Ennis , (1970-01-16) January 16, 1970 (age 52)Northern Ireland, UK,,,,
Kate Stayman-London ,n,o,n,e,,,
Amy Reed ,n,o,n,e,,,
Kacen Callender ,September 19, 1989St. Thomas, U.S. Virgin Islands,,,,
Miya Kazuki,香月美夜,,,,,,
Marie Howalt ,n,o,n,e,,,
David McCullough,David Gaub McCullough(1933-07-07)July 7, 1933Pittsburgh, Pennsylvania, U.S.,,,
Sheila Heti, (1976-12-25) 25 December 1976 (age 45)Toronto, Ontario, Canada,,,,
Sharon M. Draper , (1948-08-21) August 21, 1948 (age 74)Cleveland, Ohio,,,,
Hadness Fontenot,n,o,n,e,,,
Sue Monk Kidd , (1948-08-12) August 12, 1948 (age 74)Sylvester, Georgia, U.S.,,,
Marcus J. Borg,Marcus Joel Borg(1942-03-11)March 11, 1942Fergus Falls, Minnesota, US,,,
Tracey Martin ,Jacinda Ardern,,,,,,
Rob Thurman ,United States,,,,,,
Kevin M. Sullivan,n,o,n,e,,,
Louise O'Neill,1985 (age 36–37)Clonakilty, Ireland,,,,,
Laura Madeleine ,n,o,n,e,,,
E.E. Doc Murdock ,n,o,n,e,,,
A. Kirk ,n,o,n,e,,,
K.L. Armstrong,n,o,n,e,,,
Alyssa Palombo ,n,o,n,e,,,
Tom Holt, (1961-09-13) 13 September 1961 (age 61),,,,,,
A.M. Hargrove ,n,o,n,e,,,
Lionel Davidson,31 March 1922Hull, England,,,,,
Suzanne Rindell ,n,o,n,e,,,
Brandon Stanton,Brandon Stanton (1984-03-01) March 1, 1984 (age 38)[1][2]Marietta, Georgia,,,,
Tenaya Jayne ,n,o,n,e,,,
Glennon Doyle Melton , (1976-03-20) March 20, 1976 (age 46)Burke, Virginia, U.S.,,,
Gerry Duggan ,n,o,n,e,,,
Jeff Shaara, (1952-02-21) February 21, 1952 (age 70)New Brunswick, New Jersey,,,,
Jen A. Durand ,n,o,n,e,,,
Emma Mills, (1989-03-20) March 20, 1989 (age 33),,,,,
Rachel Morgan ,n,o,n,e,,,
Gulwali Passarlay,n,o,n,e,,,
Alexa Riley ,n,o,n,e,,,
S.J. Himes ,n,o,n,e,,,
Ichigo Takano,たかの　いちご,,,,,,
L. Duarte ,n,o,n,e,,,
Andrea Speed ,n,o,n,e,,,
Amy Schumer ,Amy Beth Schumer,,,,,,
David Vann ,n,o,n,e,,,
Catherine Lanigan,n,o,n,e,,,
Emily Ley,n,o,n,e,,,
Peter Clines , (1969-05-31) May 31, 1969 (age 53),,,,,
Mark A. Cooper,April 20, 1800,,,,,
L.E. Modesitt Jr. ,n,o,n,e,,,
Erin Bowman , (1990-08-11) August 11, 1990 (age 32)Hamilton, New Jersey, US,,,
Keri Arthur , (1967-12-04) 4 December 1967 (age 55),,,,,,
Penelope Ward ,n,o,n,e,,,
Julie Hall ,n,o,n,e,,,
Stephen Backhouse,n,o,n,e,,,
Chris Voss , (1957-11-28) November 28, 1957 (age 65)Mt. Pleasant, Iowa, U.S.,,,
Ta-Nehisi Coates ,Ta-Nehisi Paul Coates (1975-09-30) September 30, 1975 (age 47)Baltimore, Maryland, U.S.,,,
Paulo Coelho ,Paulo Coelho de Souza (1947-08-24) 24 August 1947 (age 75)Rio de Janeiro, Brazil,,,,,
Vera Nazarian ,n,o,n,e,,,
Graham Swift, (1949-05-04) 4 May 1949 (age 73)London, England,,,,,
Marisha Pessl , (1977-10-26) October 26, 1977 (age 45)Michigan,,,,,
M. Sweeney ,n,o,n,e,,,
Michael Kun ,n,o,n,e,,,
Tariq Ramadan, (1962-08-26) 26 August 1962 (age 60)Geneva, Switzerland,,,,,
Robin Sloan ,United States,,,,,,
Elana K. Arnold ,n,o,n,e,,,
Jordan Ellenberg, (1971-10-30) October 30, 1971 (age 51)Potomac, Maryland, U.S.,,,
Connilyn Cossette ,n,o,n,e,,,
Brian O'Hare ,n,o,n,e,,,
James Wilde,n,o,n,e,,,
Zaina Arafat ,Zaina Arafat,,,,,,
Elaine Kahn ,Evanston, Illinois,,,,,
Kwame Mbalia ,n,o,n,e,,,
Natalie C. Parker ,n,o,n,e,,,
Eric Lindstrom ,n,o,n,e,,,
Oliver Sacks,Oliver Wolf Sacks(1933-07-09)9 July 1933London, England,,,,,
Angie Kim ,n,o,n,e,,,
Heather Lloyd ,n,o,n,e,,,
Whitney G. ,n,o,n,e,,,
Rebecca McRitchie ,n,o,n,e,,,
Sarah Smith ,n,o,n,e,,,
Samantha Christy ,n,o,n,e,,,
Sean-Michael Argo ,n,o,n,e,,,
Diane Duane , (1952-05-18) May 18, 1952 (age 70)New York City, New York, United States,,,
Talia Hibbert ,1995/1996 (age 26–27)[1],,,,,,
Tara Bennett ,n,o,n,e,,,
John Coleman,n,o,n,e,,,
Julian Darius ,n,o,n,e,,,
Matt Myklusch ,n,o,n,e,,,
D.L. McDermott ,n,o,n,e,,,
David Duchovny,David William Duchovny (1960-08-07) August 7, 1960 (age 62)New York, U.S.,,,,
Matt Johnson ,n,o,n,e,,,
Laurann Dohner,n,o,n,e,,,
Lori Ostlund ,Minnesota State University, Moorhead,  University of New Mexico,,,,
P.N. Elrod,Patricia Nead Elrod1954[1],,,,,,
Peter Nichols,n,o,n,e,,,
Gene Baur , (1962-07-24) July 24, 1962 (age 60)Los Angeles, California, U.S.,,,
Andrew Keenan-Bolger,May 15, 1985 (Age 37)Detroit, Michigan, U.S.,,,
Andie Mitchell,n,o,n,e,,,
PewDiePie,Felix Arvid Ulf Kjellberg (1989-10-24) 24 October 1989 (age 33)Gothenburg, Sweden,,,,,
