,0
Melinda Salisbury,none
Chriselda Barretto ,none
Edgar Cantero , 1981 (age 41)Barcelona
Jessica Verdi ,none
Michael Punke,Barack Obama
Gill Paul ,none
Patricia Briggs, United States
Jen Turano ,none
Lynda Mullaly Hunt ,none
Karen Kingston ,none
R.C. Sproul, U.S.[1][2]
David Neilsen ,none
Johanna Lindsey, West Germany
Tillie Cole ,none
Sharon Cameron ,Sonny Gallant (interim)
Deanna Raybourn , 1968 (age 54)Fort Worth
William H. Armstrong,none
Erin Hunter,none
Tracy Rees,none
Kirstin Cronn-Mills,none
Christopher Scotton ,none
Gordon Korman, Canada
Gloria Steinem, U.S.
Esther Hautzig,none
Patrick Radden Keefe,1976 (1976)
Samuel Beckett, Ireland
Ilsa Madden-Mills ,none
Lisa Kleypas , United States
Alan Bradley ,none
Chuck Grossart ,none
Roan Parrish ,none
Avi,none
Richard Fifield ,none
Helena Newbury ,none
Irvin D. Yalom, D.C.
Jacqueline Wilson, England
Emma Chase ,none
Mhairi McFarlane ,none
Michael Bialys ,none
M,Latin script
Arnold Henry ,none
K. Bromberg ,none
Lora Leigh, US
Kelley Armstrong , Canada
Sally Hepworth ,1980 (age 41–42)
E.L. Ervin ,none
Sapan Saxena ,Motilal Nehru National Institute of Technology Allahabad
Steven Cross ,none
David Hartness ,none
Jared Brock ,none
Kelly St. Clare ,none
Alcatraz Dey ,none
Saira Viola ,none
Julie Morgan ,Mark Drakeford
Dannielle Wicks ,none
Miranda Sings,none
David Beaupre ,none
Jasmine Lee ,none
Carole Devine ,none
M.A. Phipps ,none
Nicholas Ponticello ,none
William Nicholson,none
Carole Matthews,none
Isabel Curtis ,none
Martine Bailey ,none
Kristen Simmons ,none
Alaric Longward ,none
J. Dylan Yates ,none
J.L. Drake ,none
Donald Jans ,none
L.V. George ,none
J.J. Sherwood ,none
