,0
I.V. Olokita ,none
Krista Ritchie ,none
Beth Aldrich ,none
Alex Bell,none
Alix E. Harrow ,none
Meg Waite Clayton ,none
Renée Paule ,none
Dmitry Glukhovsky ,1979-06-12
Roshani Chokshi ,1991-02-14
Kathleen Rooney ,none
Natasha Pulley,1988-12-04
Robin Hobb ,1952-03-05
Chanel Miller,1992-06-12
Brittany Cavallaro ,none
Robert Kolker ,none
Gena Showalter ,none
Scott Westerfeld ,1963-05-06
Susin Nielsen ,none
Jenna Evans Welch ,none
Rebecca Ross ,none
Raina Telgemeier ,1977-05-26
Stacey Lee ,none
Sara Raasch ,1989-08-26
Evelyn Skye ,none
Michael Rickard ,none
Jackson Lanzing,none
Pam Muñoz Ryan,1951-12-25
Lynette Noni ,none
Nic Stone ,1985-07-10
Jex Lane ,none
RoAnna Sylver ,none
M.H. Boroson,none
Michael Dante DiMartino ,1974-07-18
David Baldacci ,1960-08-05
Julian Barnes,1946-01-19
Tim Tigner ,none
Anna-Marie McLemore ,none
Christine Zolendz ,none
Nora Roberts ,1950-10-10
Han Kang,1970-11-27
Loreth Anne White ,none
Maria Dahvana Headley ,1977-06-21
Heather Demetrios ,none
Carmen Maria Machado ,1986-07-03
Kohei Horikoshi,1986-11-20
John Gardner,none
Addison D'marko ,none
Joe Hill ,none
Emily Bleeker ,none
Renee Carlino ,none
Joey Graceffa,1991-05-16
Morgan Matson ,none
V.E. Schwab ,1987-07-07
Liv Constantine ,none
Ilona Andrews ,none
Inio Asano,1980-09-22
Sherrilyn Kenyon ,1965-12-11
Lang Leav ,1980-09-08
Laura Thalassa ,none
Bill Browder ,1964-04-23
Helen C. Escott ,none
T.J. Klune ,none
Miriam Sawan ,none
Penelope Douglas ,none
Katherine Applegate,1956-10-09
A.G. Riddle ,none
Stephen Fry,1957-08-24
Robert W. Doubek,none
Melissa Bashardoust ,none
Bill Brown ,none
Teri Terry ,none
Clare Mackintosh ,none
Angie Thomas ,1988-09-20
Alex Flinn ,1966-10-23
Catherine Steadman,1987-02-08
Wendy Holden ,none
James S.A. Corey ,none
Jodi Meadows ,none
Tommy Wallach ,none
Isabel Allende ,1942-08-02
Anthony Ray Hinton,1956-06-01
Zen Cho ,none
Irvine Welsh,1958-09-27
Yeonmi Park,1993-10-04
Lynn Weingarten ,none
April Genevieve Tucholke,none
R.J. Palacio,1963-07-13
Terry Pratchett,1948-04-28
Maureen Johnson ,1973-02-16
Madeleine Thien,none
Ali Smith,1962-08-24
Meg Kassel ,none
Sarah Andersen ,none
Brian K. Vaughan ,1976-07-17
Shel Silverstein,1930-09-25
Jennifer Donnelly ,1963-08-16
Catherine Forsayeth,none
William L. Myers Jr. ,none
Iain M. Rodgers ,none
Kamel Daoud,none
Michael J. Sullivan ,none
Nalini Singh ,1945-09-01
M.J. Arlidge,none
Melissa Tagg ,none
Angelica Banks ,none
Anne Tyler ,1941-10-25
Roseanna M. White ,none
Christina Henry ,none
James Comey,1960-12-14
Angela Marsons ,none
Jessica Khoury ,none
Janet E. Morris ,1946-05-25
Laura Ruby,none
Lily Collins,1989-03-18
Shane Dawson,1988-07-19
J.D. Vance,1984-08-02
Andy Weir ,1972-06-16
Frans de Waal,1948-10-29
Meredith Wild ,none
Helena Hunting ,none
Jenn Bishop ,none
Bill Konigsberg ,1970-11-11
Michael Buckley,none
Jessi Kir,none
Barbara O'Connor ,none
Synne Jakobsen ,none
Alex Gino,none
Sylvia Day ,1973-03-11
Jim Butcher ,1971-10-26
Claudia Gray ,none
Kate O'Hearn,none
Jeanne Birdsall,none
Melissa Grey ,none
Karen M. McManus ,1969-05-14
John Marrs ,none
RuDixon,none
Heather Cocks ,none
Anna Kavan,1901-04-10
E.C. Jackson ,none
Michele Breza ,none
John Calvin,1509-07-10
Loren Molloy ,none
Cathy McLennan ,none
Kapil Kumar Bhaskar ,none
Ashish Jaiswal ,none
Amy Koto ,none
Laurick Ingram ,none
Robert Jenkins ,none
Beth Koritz ,none
Wole Akosile ,none
Melanie Martins ,none
Heather Marsh ,none
Sita Bennett ,none
Chris Carter,none
Tillie Walden,none
Ashley Stoyanoff ,none
Iain Reid ,none
Kate James ,none
Vincent L. Scarsella ,none
Fletcher DeLancey ,none
Nina Willner ,1961-03-01
Giovanna Fletcher ,1985-01-29
Cindy Brandner ,none
Alain de Botton ,1969-12-20
Charlie Mackesy,1962-12-11
Kiley Reid,none
Jennifer Lynn Barnes ,none
Sara Gruen ,none
Matthew Syed,1970-11-02
Jessica Brody ,none
Lylah James ,none
Andrew Norriss,none
Kate Stewart ,1995-01-16
Sara Bareilles,1979-12-07
Holly Bourne ,none
Vi Keeland ,none
E.O. Odiase ,none
J.T. LeRoy,none
Bernhard Hennen,none
Brené Brown ,1965-11-18
Chris-Jean Clarke ,none
Alice Hoffman ,1952-03-16
