,0
James Bowen,none
Becky Chambers,1985-05-03
Jessica Warman,none
Dan Howell,1991-06-11
Jhumpa Lahiri,1967-07-11
Bryan Stevenson,1959-11-14
Catherine Anderson ,1948-12-22
Thea Harrison ,none
Colin Meloy,1974-10-05
Jan-Philipp Sendker ,none
Kim Holden ,none
Sarah Addison Allen ,none
Kevin Kwan ,none
Joe Abercrombie,1974-12-31
Clare Mackintosh ,none
Naomi Alderman ,none
Demi Lovato,1992-08-20
Tillie Cole ,none
Quinn Loftis ,none
Melissa Albert ,none
Linda Masemore Pirrung,none
Brodi Ashton ,none
Jessica Shirvington ,none
Dot Hutchison,none
Taran Matharu ,none
Katie Davis,none
Lyn I. Kelly,none
Nina LaCour ,none
Lynda Mullaly Hunt ,none
Amy Poehler,1971-09-16
Laurann Dohner,none
Suzanne Wright ,none
Lisa Williamson ,none
Neil deGrasse Tyson ,1958-10-05
Stephen Tesher ,none
Nely Cab ,none
Non Nomen ,none
Richard Belzer,1944-08-04
Sandy Klein Bernstein ,none
Taylor Ann Bunker ,none
Nikki Moyes ,none
Jasmine Warga ,none
Paul Harbridge ,none
Lisa Jewell ,1968-07-19
Pawan Mishra ,none
Jeremy Forsyth ,none
Zoltan Andrejkovics ,none
Amelia Hutchins ,none
Holly Goldberg Sloan ,none
Richard Powers,1957-06-18
Lara Adrian ,none
Abigail Gibbs ,none
Gillian Flynn ,1971-02-24
Kylie Scott ,none
Rachel Joyce,none
Patricia H. Graham ,none
Sam B. Miller II ,none
Donald Ray Pollock,1954-12-23
Elizabeth Chandler,1807-12-24
Daniel Handler ,1970-02-28
Lev Grossman ,1969-06-26
Mary Burton ,none
Ilsa J. Bick ,none
Samuel R. Delany,1942-04-01
Miranda Kenneally ,none
Cat Patrick ,none
Hans Rosling,1948-07-27
Brian McKinley,none
Kass Morgan ,1984-07-21
Elena Ferrante,none
Jeffrey Eugenides,1960-03-08
Rolf Margenau ,none
Michael West ,none
Barry Eisler ,none
Karen Joy Fowler,none
Georgia Cates ,none
Kim Harrison ,none
Jeyn Roberts ,none
Ruth Ware ,none
Kazuo Ishiguro,1954-11-08
Nassim Nicholas Taleb ,1960-09-12
Karl Wiggins ,none
Marie Kondō ,1984-10-09
Erich Maria Remarque,1898-06-22
David Baldacci ,1960-08-05
Ellen Hopkins ,1955-03-26
Johan Harstad,1979-02-10
Genevieve Cogman ,none
Kelly Keaton ,none
A.S.A. Harrison,none
Neal Stephenson ,1959-10-31
Gail Carriger ,1976-05-04
Daniel O'Malley,none
Tara Hudson ,none
Sara Wolf ,none
Charlaine Harris ,1951-11-25
Travis Luedke ,none
Ann Brashares,none
Samantha Young ,none
H.P. Lovecraft,1890-08-20
Eoin Dempsey ,none
Vera Jane Cook ,none
Thanhha Lai ,none
Darrius Garrett ,1990-04-11
Melissa Petreshock ,none
Erin Lockwood ,none
Al Stone ,none
Stephenie Meyer,1973-12-24
Karen Ann Hopkins ,none
P.I. Alltraine ,none
Diane Ackerman ,1948-10-07
Max Barry ,1973-03-18
Joe Connolly,none
Mary Ramsey ,1963-12-24
Chanda Hahn ,none
Chelsea Luna ,none
Rucy Ban ,none
Jennifer Loren ,none
Bill Konigsberg ,1970-11-11
Brent LeVasseur ,none
O.L. Ramos ,none
Rachel Vincent ,none
Colson Whitehead ,1969-11-06
Torey L. Hayden,none
Solomon Northup,none
Jeffrey Archer,1940-04-15
Christine Zolendz ,none
Kristen Simmons ,none
Michelle Leighton ,none
Jez Jones,none
David Grann,1967-03-10
Cara Lynn Shultz ,none
James Faro ,none
Hiro Arikawa,none
Kathy Reichs ,none
Jim Butcher ,1971-10-26
Debra Anastasia ,none
Julianna Baggott ,none
Fábio Moon,none
Yangsze Choo ,none
Maya Banks ,none
Joel C. Rosenberg ,1967-04-17
George Saunders,1958-12-02
James Sillwood ,none
Olivia Hawker,none
Margot Lee Shetterly ,1969-06-30
Alice Oseman ,1994-10-16
Tina Reber ,none
Anne Elisabeth Stengl ,none
Amy Ewing,none
Jessica Khoury ,none
Atul Gawande,1965-11-05
Ron Millicent ,none
Karin Slaughter ,1971-01-06
Jessica Clare ,none
Cynthia Collins ,none
María Dueñas,none
Courtney Summers ,none
Alistair MacLeod,1936-07-20
Estelle Maskame ,none
Robin Gregory ,none
M.L. Rio ,none
Lin-Manuel Miranda,1980-01-16
Chris Hadfield,1959-08-29
Gary Santorella,none
Kate Egan,1976-05-10
Cecelia Ahern,1981-09-30
Felix Alexander ,none
Oyinkan Braithwaite ,none
Justin Cronin ,none
Louise Erdrich,1954-06-07
Margaret Rogerson ,none
Erin Watt ,none
Dennis Cooper,1953-01-10
Victoria Scott ,1982-02-01
Carrie Jones ,none
Jay Asher ,1975-09-30
Joss Stirling ,none
Anne Rice,1941-10-04
Scott Hawkins ,none
Lacey Weatherford ,none
Abigail Haas ,none
Sogyal Rinpoche,1947
David Mitchell,none
Peter Thiel,1967-10-11
Eoin Colfer,1965-05-14
Bernadette Azizi,none
G.X. Chen ,none
Jason Luke,none
Felix Abt ,none
Paul Van Der Merwe ,none
Tom DeLonge ,1975-12-13
Eric M. Black ,none
Tiffany McDaniel ,none
Christopher Keene ,none
Renée Paule ,none
Daniel M. Harrison,none
William Kent Krueger ,1950-11-16
Nicole Williams ,none
Haresh Daswani ,none
Erica Stevens ,1999-12
Joseph Fink,none
A.C. Gaughen ,none
Michelle Cohen Corasanti ,none
Ally Shields ,none
Matthew Dicks ,none
Julie Murphy ,none
John Patrick Kennedy ,none
C.E. Medford ,none
Victoria Helen Stone ,none
Caitlin Moran,1975-04-05
Brother Andrew,1928-05-11
Jeff Kinney ,1971-02-19
David Sheff ,1955-12-23
James Frey,1969-09-12
Gail McHugh ,none
Connor Franta,1992-09-12
Ryan Graudin ,none
Kelly Barnhill ,none
Jon Ronson,1967-05-10
Daniel H. Wilson ,1978-03-06
Joshua Foer ,1982-09-23
Kate McCarthy ,1992-10-24
Vivian Barz ,none
Jodi Lynn Anderson ,none
James Riley ,none
A.J. Mouse ,none
Michelle A. Valentine ,none
Harlan Coben ,none
Gregg Olsen ,1959-03-05
Laurelin Paige ,none
Esther Earl,none
Mark Frost ,1953-11-25
Bridget Hodder ,none
Amber Smith ,none
Samantha Ryan Chandler ,none
Olivia Cunning ,none
Nathan Filer,none
R.F. Kuang ,1996-05-29
Suzanne Collins,1962-08-10
Trudi Canavan,none
Cassandra Rose Clarke ,none
Brené Brown ,1965-11-18
Julie Berry ,none
Lisa See ,1955-02-18
Lucian Bane ,none
Elif Shafak ,1971-10-25
Jillian Dodd ,none
Amanda Lovelace,none
Jessie Burton,1982-08-17
Chloe Benjamin ,none
Renee Carlino ,none
Tia Shurina ,none
Chris Grabenstein ,none
Robert Greene ,none
Ashley Herring Blake ,none
Phil Knight,1938-02-24
Robert G. Williscroft ,none
Ellen DeGeneres,1958-01-26
John Grisham ,1955-02-08
Brittainy C. Cherry ,none
Janet Evanovich ,1943-04-22
Maile Meloy ,1972-01-01
Andrew Peterson ,none
Mary E. Pearson ,1955-08-14
