index,0
Malorie Blackman ,none
Harlan Coben ,none
Dalai Lama XIV,1935-07-06
John Connolly ,none
Pierre Choderlos de Laclos,1741-10-18
John Gardner,none
John Marsden,none
David James Duncan,none
Alice Clayton ,none
Afroz Alam ,none
Lawrence Hill,1957-01-24
Nikolai Gogol,1809-03-20
Kirsty Moseley ,none
Kennilworthy Whisp ,none
Leo Tolstoy,1828-09-09
Ilona Andrews ,none
John Tiffany ,none
Robert Galbraith,none
Founding Fathers,none
Trudi Canavan,none
Amy Plum ,none
Tara Westover ,1986-09-30
Michel Guyon ,none
Robert C. O'Brien,1966-06-18
Liane Moriarty ,1966-11-15
Roger Zelazny,1937-05-13
Shannon Messenger ,none
C.J. Roberts ,"March 20, 1989"
Philip Roth,1933-03-19
Flora Rheta Schreiber,none
M.L. Stedman ,none
Nalini Singh ,1945-09-01
Alex Garland,1970-05-26
Sharon Kay Penman ,none
Graeme Simsion ,none
Carson McCullers,1917-02-19
Isaac Marion ,1981-12-30
Lawrence Durrell,1912-02-27
Ammar Habib ,1967-10-25
John Jakes,1932-03-31
Tracey Garvis Graves ,none
David Fishelson ,1956-07-24
Juan Rulfo,none
Connie Willis,1945-12-31
T. Rafael Cimino ,1963-06-04
Nelson Mandela,1918-07-18
Rohith S. Katbamna ,none
Cheryl Strayed ,1968-09-17
Simon Okill ,none
Vanessa Diffenbaugh ,none
Chris Colfer,1990-05-27
Kiersten White ,none
Rick Warren,1954-01-28
Cinda Williams Chima ,none
Malala Yousafzai,1997-07-12
W.B. Yeats,none
Katherine Neville,none
Jean-Dominique Bauby,1952-04-23
Stephanie Garber ,none
Sophie Jordan ,none
Guy Gavriel Kay ,1954-11-07
Roberto Bolaño,1953-04-28
Jeffery Deaver ,1950-05-06
Robert Shea,1933-02-14
Gena Showalter ,none
Barbara W. Tuchman,1912-01-30
Chimamanda Ngozi Adichie,1977-09-15
Jason Latshaw ,none
Stephen E. Ambrose,1936-01-10
Anne McCaffrey,1926-04-01
Rachel Carson,1907-05-27
Anya Seton,1904-01-23
Kirsten Fullmer ,none
Euripides,none
Walter Isaacson ,1952-05-20
Gail Carriger ,1976-05-04
Kody Keplinger ,1991-08-08
Gail Honeyman,none
Jenny Downham,none
Eric Schlosser,1959-08-17
Andy Szpuk ,none
Octavia E. Butler,1947-06-22
