isbn,main author
9780811201889,Jean-Paul Sartre
9780345504968,Justin Cronin 
9781841497129,Kelley Armstrong 
9780441783588,Robert A. Heinlein
9780805005011,Robert Frost
9780553258479,Leon Uris
9780385524940,Andrew Davidson 
9780449912553,Mary Doria Russell 
9780375836671,Markus Zusak 
9780062498533,Angie Thomas 
9781476712987,Jamie McGuire 
9781936305629,Sylvain Reynard 
9780140449068,Jules Verne
9780552992091,John Irving 
9780743455961,Stephen King 
9780330449601,Kate Morton 
9780446364492,Robert James Waller
9780380731862,Dennis Lehane 
9780061020681,Terry Pratchett
9781595143181,Richelle Mead 
9780060584757,Dennis Lehane 
9781423146735,Rick Riordan 
9780451229854,J.R. Ward 
9781905654949,P.C. Cast 
9780375822742,Jeanne DuPrau
9780743247542,Jeannette Walls
9780310902713,Anonymous
9780062348678,Becky Albertalli 
9780786818594,Jonathan Stroud 
9780689865190,Ellen Hopkins 
9780385603102,Mark Z. Danielewski 
9780451171351,Irving Stone
9780061978067,Lauren Oliver 
9780061374227,David Wroblewski
9780064404778,Robin McKinley
9780446672214,Billie Letts
9780525421580,John Green 
9780811216548,Louis-Ferdinand Céline
9781461091110,S.C. Stephens 
9781590385814,Brandon Mull 
9780375727276,Bret Easton Ellis
9781579126278,Agatha Christie
9780425266748,Tammara Webber 
9780140348934,Mildred D. Taylor
9780312979973,Sherrilyn Kenyon 
9780142501559,Sarah Dessen 
9780385739160,Lauren Kate 
9781408857908,Sarah J. Maas 
9780143036371,J.M. Coetzee
9780061668036,Aprilynne Pike
9781594489587,Junot Díaz
9780307341563,Gillian Flynn 
9780486223056,Samuel Taylor Coleridge
9780441017157,Charlaine Harris 
9780307931887,David Levithan 
9780752865331,Dashiell Hammett
9780330349420,Robert Musil
9781402784033,Colleen Houck 
9781862301382,Brian Jacques
9780679744399,Cormac McCarthy
9780142406632,John Flanagan
9780061996160,Cynthia Hand 
9780143129554,Don DeLillo
9780670011940,Sarah Dessen 
9780670674244,Munro Leaf
9780141441160,E.M. Forster
9780060874162,Alex Flinn 
9780679740674,Philip K. Dick
9780578433868,Aimee Cabo Nikolov 
9781595143198,Richelle Mead 
9780385315142,Peter Høeg
9780060515195,Neil Gaiman 
9780385539258,Hanya Yanagihara 
9780451222725,J.R. Ward 
9781862308169,Tabitha Suzuma 
9780385339087,John Grisham 
9780373210183,Julie Kagawa 
9781595143976,Beth Revis 
9780689840920,Gary Paulsen
9780679776819,Sebastian Faulks
9780552154284,Terry Pratchett
9780465026562,Douglas R. Hofstadter
9780451457813,Jim Butcher 
9780670010882,Sarah Dessen 
9780316125581,Stephenie Meyer
9780399254123,Ruta Sepetys 
9780143039976,Shirley Jackson
9780441016150,Patricia Briggs
9780671741037,Robert R. McCammon
9780393322231,Vincent Bugliosi
9780670844876,Jon Scieszka
9780802720856,Simone Elkeles 
9780156453806,Italo Calvino
9780765376459,V.E. Schwab
9780553496642,Nicola Yoon 
9780312532765,Alyson Noel 
9780316013680,Sherman Alexie
9780385339162,Karen Marie Moning 
9780312650247,P.C. Cast 
9780575076815,Philip K. Dick
9780316033671,Brent Weeks 
9780099483502,Günter Grass
9780743466523,Ann-Marie MacDonald
9780312642983,Marissa Meyer 
9781400052172,Rebecca Skloot 
9780060590277,Christopher Moore 
9780330493741,Jacqueline Carey 
9780684844770,Ursula Hegi
9780439554008,Cornelia Funke 
9780571203130,Nikos Kazantzakis
9781442468351,Cassandra Clare 
9780060913076,Thomas Pynchon
9781594631764,Khaled Hosseini 
9780140449303,Giovanni Boccaccio
9781573225786,James McBride 
9780062060556,S.J. Watson 
9780061583216,Jeaniene Frost 
9780763625290,Kate DiCamillo 
9781400034710,Gabriel García Márquez
9780375726408,Richard Russo 
9780340818671,Stephen King 
9780553381528,Laurie R. King 
9780142001431,Geraldine Brooks 
9780440416791,Louise Fitzhugh
9780345452009,Anne Tyler 
9780812967128,John Wyndham
9780575079793,Joe Abercrombie
9781423140566,Rick Riordan 
9780385475716,Margaret Atwood 
9780670070299,Melina Marchetta 
9780060502935,Terry Pratchett
9780394752846,Julio Cortázar
9781907411052,Veronica Rossi 
9780451155757,Stephen King 
9781590171998,John Williams
9780786891085,Cecelia Ahern
9780312278496,Hermann Hesse
9780385339704,John Grisham 
9780452287051,Dorothy Allison
9780552562522,Michael Scott 
9780374533571,Matthew Quick 
9780062085610,Wendy Higgins 
9780743442534,John le Carré
9780316160209,Stephenie Meyer
9780879234621,Charles Baudelaire
9780374529260,Marguerite Yourcenar
9780375703867,Zadie Smith
9780316067928,Stephenie Meyer
9780373210510,Julie Kagawa 
9780613371650,Meg Cabot 
9780099478331,John Fowles
9780316002899,James Patterson 
9780316077057,Kami Garcia 
9780312270827,Salman Rushdie
9780140447897,Ovid
9780689711732,Judith Viorst
9780670018703,David Benioff
9781906427139,Lucy Christopher 
9780525951650,Ken Follett 
9780517266557,Rudyard Kipling
9780060935474,Fred Gipson
9780061020643,Terry Pratchett
9780312624675,C.C. Hunter 
9780312424404,Marilynne Robinson
9781416951179,Scott Westerfeld 
9780812978186,E.L. Doctorow
9780345459404,China Miéville 
9780441068807,Robin McKinley
9780803734951,Jandy Nelson 
9780553380965,Neal Stephenson 
9781932416640,Dave Eggers
9780441015665,Patricia Briggs
9780553499117,Amie Kaufman 
9780752898476,Diana Gabaldon 
9780689852237,Nancy Farmer 
9780451208644,John Howard Griffin
9780099478447,Graham Greene
9781903434772,Cornelia Funke 
9781423140573,Rick Riordan 
9780060245863,Laura Joffe Numeroff 
9780810993136,Jeff Kinney 
9781416562597,Aravind Adiga
9781416971702,Sharon M. Draper 
9781416924982,Margaret Peterson Haddix
9780545424943,Maggie Stiefvater 
9780670011100,Laurie Halse Anderson 
9780345468642,David Eddings
9780374105235,Ishmael Beah
9780061053719,Clive Barker 
9780373210497,Katie McGarry 
9780345503800,Peter V. Brett 
9780316133975,Laini Taylor 
9781416903567,Ellen Hopkins 
9780060548254,Mary Stewart
9780545224901,Maggie Stiefvater 
9780060510862,Joe Haldeman
9781439198780,Juan Gomez-Jurado 
9780802134226,Jerzy Kosiński
9781423116387,Ally Carter 
9780385491020,Margaret Atwood 
9780007246229,J.R.R. Tolkien
9781594747359,Ransom Riggs
9780312330866,James Herriot
9781857231519,Terry Brooks 
9780316228534,J.K. Rowling
9780007119554,George R.R. Martin
9780515141429,Lee Child 
9780374158460,Jonathan Franzen
9780373210367,Julie Kagawa 
9780763625894,Kate DiCamillo 
9780374506841,Hermann Hesse
9780425263921,Sylvia Day 
9781842430248,Tom Robbins
9780007127740,Ray Bradbury
9781564782144,Flann O'Brien
9780061231155,Derek Landy
9780060786526,Vikram Seth
9780553266306,Frederick Forsyth
9780307352149,Susan Cain 
9780689707490,Judi Barrett
9780312429980,Hilary Mantel 
9780375825446,Wendelin Van Draanen 
9780307265838,Haruki Murakami
9780545284134,Jennifer A. Nielsen 
9780060838744,Sena Jeter Naslund
9780786706211,Alfred Lansing
9780763676179,Patrick Ness
9780552555708,Malorie Blackman 
9780440236702,Harlan Coben 
9780743298858,John Connolly 
9781439102763,Jodi Picoult 
9780679723110,John Gardner
9780439829106,John Marsden
9780553378498,David James Duncan
9781623420024,Alice Clayton 
