index,0
Victor Hugo,1802-02-26
Naomi Alderman ,none
Tony Robbins,1960-02-29
Demi Lovato,1992-08-20
Kiran Desai,1971-09-03
Liane Moriarty ,1966-11-15
Shilpi Somaya Gowda ,none
Edward Albee,1928-03-12
Lauren Kate ,1981-03-21
Tillie Cole ,none
Victoria Aveyard ,1990-07-27
Megan Abbott ,1971-08-21
Elizabeth Eulberg ,none
Janne Teller,1964-04-08
Janet Evanovich ,1943-04-22
Mario Puzo,1920-10-15
Ford Madox Ford,1873-12-17
Suzanne Collins,1962-08-10
Karin Slaughter ,1971-01-06
Rachel Renée Russell ,1959-04-13
Quinn Loftis ,none
Melissa Albert ,none
Craig Silvey ,1982-01-01
Linda Masemore Pirrung,none
Jonathan Coe ,1961-08-19
Brodi Ashton ,none
Peter V. Brett ,1973-02-08
Jennifer A. Nielsen ,1971-07-10
Jessica Shirvington ,none
Dot Hutchison,none
Sara Shepard ,1977-04-08
Wayne Thomas Batson ,none
J.A. Redmerski ,none
Nick Hornby,1957-04-17
Antoine de Saint-Exupéry,1900-06-29
CLAMP,none
Deborah Howe,1946-08-12
Carlos Castañeda,none
Taran Matharu ,none
David Baldacci ,1960-08-05
Katie Davis,none
Lyn I. Kelly,none
Ian McEwan,1948-06-21
Andrea Levy,1956-03-07
Lew Wallace,1827-04-10
Ted Dekker ,1962-10-24
Amie Kaufman ,none
Marie Rutkoski ,1977-03-05
Laurie Faria Stolarz ,none
E.L. Konigsburg,1930-02-10
Natsume Sōseki,1867-02-09
Elif Shafak ,1971-10-25
Becky Albertalli ,1982-11-17
Nina LaCour ,none
Philip José Farmer,1918-01-26
Lynda Mullaly Hunt ,none
Amy Poehler,1971-09-16
Lisi Harrison ,1970-07-29
Laurann Dohner,none
Betty Edwards,none
Julia Quinn ,none
Unknown,none
Marie Lu ,1984-07-11
Erlend Loe,1969-05-24
Khushwant Singh,1915-02-02
Amor Towles ,none
Suzanne Wright ,none
Luke Rhinehart,1932-11-15
Yana Toboso,1984-01-24
Lisa Williamson ,none
