index,0
Dathan Auerbach ,none
Rudolfo Anaya,1937-10-30
Catherine Asaro ,1955-11-06
Diana Gabaldon ,1952-01-11
Obert Skye,none
David Klass,none
Dick Winters,1918-01-21
Robert J. Sawyer ,1960-04-29
Cynthia Eden ,none
Bethany Griffin ,none
Barry Lyga ,1971-09-11
Ann Halam,1952-02-14
Jiang Rong,none
Elisabeth Naughton ,none
Jane Harvey-Berrick ,none
Robert Rankin,1949-07-27
Annabel Pitcher,none
Robert W. Chambers,1865-05-26
C.C. Gibbs ,none
Bryan Lee O'Malley,1979-02-21
Yeonmi Park,1993-10-04
N.T. Wright,1948-12-01
Edwidge Danticat,1969-01-19
Gautam Malkani,none
Andy McDermott,1974-07-02
Gilles Deleuze,none
Eric Shanower ,1963-10-23
Jennifer Bosworth ,none
Lindsey Kelk ,1980-10-03
Richard Condon,none
Nancy Springer ,1948-07-05
Valerio Massimo Manfredi,1943-03-08
Danielle L. Jensen ,none
Lynn Weingarten ,none
April Genevieve Tucholke,none
Mary Stewart,none
Brent Hartinger ,none
John Keats,1795-10-31
Greg Bear,1951-08-20
Tan Twan Eng,none
Ruth Frances Long ,1971-04-20
Alice Kuipers ,1979-06-29
Joan Aiken,1924-09-04
Molly Evangeline ,none
R.J. Palacio,1963-07-13
Madeleine Thien,none
Julia Spencer-Fleming ,1961-06-26
A.C. Weisbecker,none
Judith Fathallah,none
Lynn Austin ,none
Mark Steyn,1959-12-08
Jonah Goldberg,1969-03-21
H.F. Saint,none
T. Colin Campbell,1934-03-14
Ashley Judd,1968-04-19
Brom,none
Stephanie Perkins ,none
Neil Patrick Harris,1973-06-15
Scott Weiss,none
Eugene O'Neill,1888-10-16
Joshua Ferris ,1974-11-08
David R. Hawkins,none
David Mazzucchelli,1960-09-21
Bart Yates,none
Norman L. Geisler,1932-07-21
Plutarch,none
Meg Kassel ,none
Thomas Ligotti,1953-07-09
Silvana De Mari,none
Sarah Andersen ,none
Claire Huchet Bishop,none
Jack Canfield,1944-08-19
Ludwig Bemelmans,1898-04-27
Timothy J. Keller,1950-09-23
Swami Satchidananda,1914-12-22
Janice Thompson ,none
Peter David,1956-09-23
Jacqueline Wilson,1945-12-17
G.J. Walker-Smith,none
Justin Evans ,none
Liz Murray,1980-09-23
William Joyce ,1906-04-24
Kelly Oram ,none
Henry H. Neff ,none
David D. Burns,1942-09-19
Joe McGinniss,1942-12-09
Winston S. Churchill,none
Ian Kershaw,1943-04-29
David Morrell ,1943-04-24
John Foxe,none
Norman Doidge,none
Thomas H. Cook,1947-09-19
Marilyn Kaye,none
C.S. Forester,1899-08-27
Eric Ries ,1978-09-22
Cherise Sinclair ,none
J.B. Salsbury ,none
Meredith Duran ,none
James Luceno,none
Silvia Federici,none
Caroline Alexander,1968-03-03
Karen Traviss ,none
Sylvia Brownrigg,none
Ian Serraillier,none
Monica Ali,1967-10-20
Catherine Forsayeth,none
Rand Miller,1959-01-17
Bruce Coville,1950-05-16
Shane Claiborne,1975-07-11
Andrei Bely,1880-10-26
Ron Rash ,1953-09-25
Sean Stewart ,1965-06-02
William L. Myers Jr. ,none
Tatyana Tolstaya,1951-05-03
Iain M. Rodgers ,none
Laura Gallego García,1977-10-11
Richard Wurmbrand,1909-03-24
Guy Debord,1931-12-28
Frank W. Abagnale,1948-04-27
Tim Lott,1956-01-23
Willa Cather,1873-12-07
Miles Cameron ,1962-08-16
Lisa Renee Jones ,none
Brent Weeks ,1977-03-07
Jeramey Kraatz ,none
Kamel Daoud,none
Pam Jenoff ,none
George Carlin,1937-05-12
Sarah Dunant,1950-08-08
Anne Fadiman,1953-08-07
Herbie Brennan ,1940-07-05
Dee Henderson ,none
Jamie Begley ,none
Ken Dryden,1947-08-08
Cynthia Rylant,1954-06-06
Ethel Lilian Voynich,1864-05-11
Michael Wyndham Thomas ,none
Carmen Laforet,none
Henry H. Halley,1874-04-10
Robert T. Bakker,1945-03-24
Blake Mycoskie,1976-08-26
Aya Nakahara,1973-07-28
Randy Shilts,1951-08-08
Dale Carnegie,1888-11-24
Richard Holmes,none
Thalia Chaltas,none
Daniel Tammet ,1979-01-31
Helen Macdonald,none
Norah Lofts,1904-08-27
LeGrand Richards,1952-04-06
John Hart ,none
Melissa Darnell ,none
Lynne Olson ,1949-08-19
Edgar Rice Burroughs,1875-09-01
Flynn Meaney ,none
Delilah S. Dawson ,1977-10-21
Tom Franklin ,none
Angela Graham ,none
Patrick Marber,1964-09-19
Dick Francis,1920-10-31
Lesley Kagen ,none
Caleb Carr ,1955-08-02
Livia Bitton-Jackson,1931-02-28
Christopher Hitchens,1949-04-13
Miep Gies,none
Antonio Skármeta,1940-11-07
Avery Monsen ,none
M.J. Arlidge,none
Elizabeth George ,1949-02-26
Lloyd Jones,none
Fred Chappell,1936-05-28
Teresa Medeiros ,none
Rebecca Serle ,none
John Reynolds Gardiner,none
Julianne Donaldson ,none
Cassia Leo ,none
Henryk Sienkiewicz,1846-05-05
Cylin Bus,none
River Savage ,none
Jen Lancaster,none
Timothy Ferris ,1944-08-24
Nancy McKenzie,1948-02-19
Jackie Kay ,1961-11-09
Anna Sofia Botkin,none
Gary Vaynerchuk ,1975-11-14
Elise Broach,none
Tanya Landman,none
Elizabeth McCracken,none
Maya Angelou,1928-04-04
Kakuzō Okakura,none
C.M. Owens ,none
Melissa Tagg ,none
John Green ,1977-08-24
Anne Sexton,1928-11-09
Alexandra Lapierre,none
MaryJanice Davidson ,none
Rosamunde Pilcher,1924-09-22
Mark Childress ,none
Ernest Callenbach,1929-04-03
Nawal El Saadawi,1931-10-22
Adam Mansbach ,1976-07-01
Nicole Reed ,none
Harlan Ellison,1934-05-27
Amanda Foreman,none
Joseph Roth,1894-09-02
Tammara Webber ,none
Neal Asher ,1961-02-04
Alex Kotlowitz,none
Martha N. Beck ,none
Faye Perozich,none
Ram Dass,1931-04-06
Mal Peet,none
Charles Bernard Nordhoff,1887-02-01
Cherie Currie,1959-11-30
Jeph Loeb,none
Phaidon Press,none
Pamela Clare ,none
Jane Lynch,1960-07-14
Angelica Banks ,none
B.F. Skinner,1904-03-20
Wallace Stevens,1879-10-02
Christopher W. Alexander,none
Robert R. McCammon,none
Pete Fromm ,none
Ben Macintyre,1963-12-25
Roseanna M. White ,none
Janni Lee Simner ,none
Ellis Peters,none
Alan Bullock,none
Sam Enthoven,none
F.E. Higgins,none
Richard Hughes,none
Franklin W. Dixon,none
Elana Johnson ,none
Robb White,1909-06-20
Nancy Pickard,1945-09-19
Christina Henry ,none
James Comey,1960-12-14
Mo Willems,1968-02-11
Jane Kirkpatrick ,none
Angela Marsons ,none
James Gleick ,1954-08-01
Terri Blackstock ,none
David Hume,none
W. Bruce Cameron ,1956-07-25
Costas Taktsis,1927-10-08
Marlys Millhiser,none
Carsten Jensen,none
Carolyn Turgeon ,none
Sophocles,none
Charles Baxter,none
J.J. Connolly,none
Grace Livingston Hill,none
David Lipsky,1965-07-20
Sherry Gammon ,none
Fritjof Capra,1939-02-01
Philip Carter,1927-05-08
Suzanne Weyn,1955-07-06
Sudha Murty,1951-08-19
Monica McCarty ,none
Michael Jackson,1958-08-29
Laura Ruby,none
Lily Collins,1989-03-18
Noam Chomsky,1928-12-07
Nicholas Blake,1904-04-27
Robert C. O'Brien,1966-06-18
Penny Vincenzi,1939-04-10
Leigh Nichols ,1945-07-09
Rita Golden Gelman,1937-07-02
Horace McCoy,1897-04-14
Shane Dawson,1988-07-19
Cynthia Leitich Smith,none
Deborah Cooke ,none
Ann Radcliffe,1764-07-09
Mary Lindsey ,none
J.D. Vance,1984-08-02
Jeffery Hudson ,none
Lewis Grassic Gibbon,1901-02-13
Carole Matthews,none
Robert Lynn Asprin ,1946-06-28
Frans G. Bengtsson,1894-10-04
Charles Sheehan-Miles ,none
Jean-Jacques Rousseau,1712-06-28
Ron Hansen,none
William Pène du Bois,none
Neil Shubin ,1960-12-22
Jennifer L. Holm ,1968-06-16
Helen MacInnes,none
Bryan Sykes,none
Theodore Dreiser,1871-08-27
Myla Goldberg ,none
Carolyn MacCullough,none
Thomas E. Sniegoski,none
Brooke McKinley,none
Kristen Callihan ,none
Beatrix Potter,1866-07-28
Frank Portman ,1964-09-21
Emma Chase ,none
Andy Weir ,1972-06-16
Urantia Foundation ,none
Madeleine Brent,1920-04-11
John Osborne,1929-12-12
Myra McEntire ,none
Gary Zukav,1942-10-17
Daniel Abraham,none
Eudora Welty,1909-04-13
Thomas Hobbes,1588-04-05
Jodi Ellen Malpas ,none
Frans de Waal,1948-10-29
Donald Barthelme,1931-04-07
Edmund Spenser,none
Trinity Faegen ,none
Kathrine Kressmann Taylor,none
NoViolet Bulawayo,1981-12-10
Tsitsi Dangarembga,1959-02-04
Martin Lings,1909-01-24
Rachel Cohn,1968-12-14
Alicia Appleman-Jurman,1930-05-09
Susan Howatch,none
Sara Zarr,1970-10-03
Jade Parker,none
David J. Garrow,1953-05-11
David Markson,1927-12-20
Damon Suede ,none
Meredith Wild ,none
Mona Simpson ,1957-06-14
Adrian Phoenix ,none
Gerald Morris,none
Martin Luther King Jr.,1929-01-15
Caris Roane ,none
Helena Hunting ,none
Jenn Bishop ,none
Sandra Gulland ,none
Alfred Tennyson,none
Henri J.M. Nouwen,1932-01-24
E.F. Benson,1867-07-24
Keary Taylor ,none
Laura Esquivel,1950-09-30
Robert K. Massie,1929-01-05
Arnold Lobel,1933-05-22
Hanya Yanagihara ,none
John Gribbin,1946-03-19
Johann Wolfgang von Goethe,1749-08-28
Doris Kearns Goodwin,1943-01-04
Lorna Landvik ,none
Robert Newton Peck,1928-02-17
Francis A. Schaeffer,1912-01-30
Ari Marmell ,none
K.A. Linde ,none
Hayao Miyazaki ,1941-01-05
Robert Burton,none
Gina Damico ,none
Norman Vincent Peale,1898-05-31
Susan Donovan ,none
William Bligh,1754-09-09
Kelly Creagh ,none
Julia Donaldson,1948-09-16
Jessi Kir,none
Stephen Jay Gould,1941-09-10
Mary Amato ,none
Gary Keller ,none
Barbara O'Connor ,none
Brennan Manning,1934-04-27
Katie MacAlister ,none
Jeph Loeb ,none
John Elder Robison ,1957-08-13
Tanith Lee,1947-09-19
Autumn Doughton ,none
Ali Novak ,none
Xenophon,none
Synne Jakobsen ,none
Alex Gino,none
Deeanne Gist ,none
Jill Shalvis ,none
Antal Szerb,none
Jermaine Jackson,1954-12-11
Robert Dallek,1934-05-16
Sylvia Day ,1973-03-11
Jay Crownover ,none
Richard Fariña,1937-03-08
Kurban Said,none
James Boswell,1740-10-29
Jasinda Wilder ,none
Christina Stead,1902-07-17
Marina Keegan,1989-10-25
Thomas J. Stanley,none
Sarah Palin,1964-02-11
Larry Brown,none
Christopher Ryan ,1950-01-25
Andre Norton,1912-02-17
Adam Zamoyski,1949-01-11
Susan Orlean ,1955-10-31
Tadeusz Borowski,1922-11-12
Selden Edwards,none
J.B. Priestley,1894-09-13
Sabrina Ward Harrison,none
Sebastian Junger ,1962-01-17
Arthur Hailey,1920-04-05
David Wiesner,1956-02-05
Bill O'Reilly ,none
Karleen Koen ,none
Linda Buckley-Archer ,none
Erasmus,none
Lee Smith,none
Susan Carroll ,none
Jeff Long,none
Joanna Philbin,none
Frida Kahlo,1907-07-06
Matt Myklusch ,none
Dalai Lama XIV,1935-07-06
William Trevor,1928-05-24
William Kamkwamba ,1987-08-05
Lisa Marie Rice ,none
William Steig,1907-11-14
Karen Essex ,none
Anne Rivers Siddons,1936-01-09
Thomas Wolfe,1900-10-03
Peg Kehret,none
A.C. Crispin,none
Wen Spencer ,none
P.B. Kerr,none
Hester Browne ,none
Nancy Mitford,1904-11-28
Whitley Strieber ,1945-06-13
Jan Karon,none
Hugh Laurie,1959-06-11
Debra Driza ,none
John Saul,none
Cathy Marie Buchanan ,none
Daniel Silva,none
Lisa Jackson ,none
Rosemary Clement-Moore ,none
Margaret Laurence,1926-07-18
Booth Tarkington,1869-07-29
Thomas Paine,1737-02-09
M. John Harrison,1945-07-26
James St. James,1966-08-01
Og Mandino,none
Vicky Ireland ,none
Roberta Kagan ,none
Scott Blagden ,none
Elspeth Huxley,1907-07-23
Ben Fountain,none
ToBarlow ,none
Sharon Lathan ,none
ShelFoote,none
Kōbō Abe,1924-03-07
Jeanne Wakatsuki Houston,1934-09-26
Jaida Jones ,none
Esther M. Friesner,1951-07-16
Timothée de Fombelle,none
Dava Sobel,1947-06-15
Brent Runyon,none
A.S. Byatt,1936-08-24
Ayi Kwei Armah,1939-10-28
Kim Carpenter,none
Jennifer Probst ,none
Dani Pettrey ,none
Radclyffe Hall,1880-08-12
Daniel Waters ,none
Sandra Cisneros,1954-12-20
Maira Kalman,1949-11-05
Chris Owen ,none
Julie Hockley ,none
Andrea Cremer ,none
Melissa Grey ,none
Lisa Lutz ,1970-03-13
Philip Kerr,none
Eugene H. Peterson,1932-11-06
Ned Vizzini,1981-04-04
Scott Mariani ,none
Barbara Ann Kipfer ,none
Debbie Macomber ,1948-10-22
Sheri S. Tepper,1929-07-16
George Selden,none
Karen M. McManus ,1969-05-14
Isabel Gillies,1970-02-09
Mo Hayder,1962-01-02
Vladimir Lenin,none
Frederick Exley,1929-03-28
Thomas Cahill,1940-03-29
Robert Hicks,none
G.P. Ching ,none
Charles M. Schulz,1922-11-26
Megan Crane ,none
Alan Sillitoe,1928-03-04
Peter Straub ,1943-03-02
Suketu Mehta,none
Joy Preble ,none
Silas House ,1971-08-07
Walter Murch,1943-07-12
Kevin Leman,none
Elizabeth Kerner,none
Ruth Reichl,none
Arnold Bennett,1867-05-27
John Marrs ,none
Jonathan Harr ,none
Joyce Reardon,none
Susanne Winnacker ,none
Lauren Dane,none
RuDixon,none
Jim Bouton,1939-03-08
Russell Baker,1925-08-14
Mary Pipher,none
Anne Osterlund ,none
R.J. Scott ,none
Edna St. Vincent Millay,1892-02-22
Matthew Inman,2009-07-06
Heather Cocks ,none
Eric Sloane,1905-02-27
John Dos Passos,none
Patricia Nell Warren,1936-06-15
Indu Sundaresan ,none
Kahlen Aymes ,none
Richard Carlson,none
Richard Connell,1893-10-17
S.D. Tower,none
Andrew Ross Sorkin,1977-02-19
Stuart Woods,1938-01-09
Michael Dobbs ,1948-11-14
Martina Cole,none
J.G. Farrell,1935-01-25
Leroy Aarons,1933-12-08
Karen Hesse,1952-08-29
Robert M. Edsel,none
Robert Liparulo ,none
Victoria Finlay,none
T.H. White,1906-05-29
David Walliams,1971-08-20
Sharla Shangeling ,none
Emily Hahn,none
Shay Youngblood ,none
Marianne Wiggins,1947-11-08
Lisa Fiedler,none
Jason Hartley ,none
J.P. Obienugh,none
Ruth Elwin Harris,none
Lesley Downer ,none
Steve Groll ,none
Théophile Gautier,1811-08-30
Simon Goddard ,none
Kathryn Bonella ,none
E.J. Stevens ,none
Ruth Minsky Sender,none
Mitchell James Kaplan ,none
Elizabeth Marshall ,1951-09-07
David Malouf,1934-03-20
Martin Lastrapes ,none
Rene Gutteridge ,none
Miyuki Miyabe,none
Veronica Mist,none
Cathy Lamb ,none
Tablo,1980-07-22
Geoff Brown,none
Amy Wiseman,none
Jennifer Gooch Hummer ,none
Graeme Aitken ,none
Gadriel Demartinos,none
K.L. Kerr ,none
Asher Tensei ,none
Norene Moskalski ,none
Jebb A. Rebal ,none
David Holley ,none
Tom Wright,none
Robert Evert ,none
Mike Van ,none
Alexei Maxim Russell ,none
Ria Warrick ,none
Chelle Bliss ,none
T.H. Snyder ,none
Aron Ralston,1975-10-27
Radhanath Swami ,1950-12-07
Sean Dryden ,none
Laurence St. John ,none
Anna Kavan,1901-04-10
Robert Venditti ,none
Kenneth Eade ,1957-12-29
Kia Carrington-Russell ,none
Ashley Stambaugh ,none
R. Lee Smith ,none
Lara Whatley ,none
Ascentii Phoenix ,none
Landon Parham ,none
Daniel P. Mannix,none
Yuu Watase,1970-03-05
Thomas Sweeney ,none
J.A. Baker,1926-08-06
Mari Hamill ,none
E.C. Jackson ,none
Brandon Novak,1978-12-10
Michele Breza ,none
John Calvin,1509-07-10
Sumrit Shahi,1993-02-12
Loren Molloy ,none
Cathy McLennan ,none
Donald J. Trump,1946-06-14
Kapil Kumar Bhaskar ,none
Ashish Jaiswal ,none
Amy Koto ,none
Laurick Ingram ,none
Robert Jenkins ,none
Beth Koritz ,none
Wole Akosile ,none
Jordan B. Peterson ,1962-06-12
Melanie Martins ,none
Sita Bennett ,none
Tillie Walden,none
Maria Savva ,none
Delores Phillips,none
Bryce Anderson ,none
Jonathan Evison ,1968-09-27
Douglas N. Graham,none
Colette,1873-01-28
Mary Baker Eddy,1821-07-16
Rose Macaulay,1881-08-01
Lane von Herzen ,none
Colleen Helme ,none
Sally Beauman,1944-07-25
Scott Michael Craig ,none
Fannie Flagg,1944-09-21
François Truffaut,1932-02-06
Jeffrey Moore,none
Stefan Bourque,none
Brittney Ryan ,none
Isak Dinesen,none
Eric Blehm,none
Folami Morris ,none
Derek Walcott,1930-01-23
Gardner McKay,1932-06-10
Red Phoenix ,none
Robin Craig Clark ,none
Cheryl Strayed ,1968-09-17
Brenda Dyer ,none
Meghan Quinn ,none
Paul Cude ,none
John Niven,none
Garth Stein ,none
Steven dos Santos ,none
Heather C. Leigh ,none
Anand Neelakantan ,none
James Ponti ,none
Andy McNab,1959-12-28
Ashley Stoyanoff ,none
John O'Riley ,none
Algernon Blackwood,1869-03-14
Terry Schott ,none
Kristen Zimmer ,none
Iain Reid ,none
Kate James ,none
Vincent L. Scarsella ,none
Michael D. O'Brien,none
Fletcher DeLancey ,none
C. Robert Cargill ,1975-09-08
Nina Willner ,1961-03-01
Maryrose Wood ,none
Charlie Mackesy,1962-12-11
Kiley Reid,none
Osama bin Laden,1957-03-10
S. Andrew Swann ,none
Marjorie Flack,none
Jimmy Buffett,1946-12-25
Susan Campbell Bartoletti,1958-11-18
Charles Williams,none
Rex Pickett ,1952-07-09
John Joseph Adams ,1976-07-31
Alice Munro,1931-07-10
George R.R. Martin ,1948-09-20
Kay Lynn Mangum,none
Bahá'u'lláh,1817-11-12
Harold Abelson,1947-04-26
K.A. Mitchell,none
Patrick D. Smith ,1927-10-02
Confucius,none
Don L. Wulffson,none
P.J. O'Rourke,1947-11-14
Christina Worrell,none
Sherry Jones ,none
Indigo Bloome ,none
Atlas Jordan ,none
Rochak Bhatnagar ,none
Walter Benjamin,1892-07-15
Alethea Kontis ,none
Emily Snow ,none
T.D. McMichael ,none
John Fitzgerald ,none
Jeffrey Lang,none
Robin Bridges ,none
Hiromu Arakawa,1973-05-08
David Peace,none
Duff McKagan ,1964-02-05
Scott Hildreth ,none
Gina Robinson ,none
Jettie Woodruff ,none
Henry T. Blackaby,none
Eve Forward,1972-01-17
Helen Bateman ,none
David Benioff,1970-09-25
John Katzenbach,1950-06-23
J. David Simons ,1953-08-27
Sara Gruen ,none
Matthew Syed,1970-11-02
Lylah James ,none
Andrew Norriss,none
Kate Stewart ,1995-01-16
Kenneth Jarrett Singleton,none
Jason Fried,1999
Sara Bareilles,1979-12-07
Holly Bourne ,none
Vi Keeland ,none
E.O. Odiase ,none
Melissa Fay Greene,none
Arthur Koestler,1905-09-05
Margaret Cheney,none
Nedjma,none
I.A. Ibrahim,none
Pedro Juan Gutiérrez,none
Colleen Coble ,none
Audrey Wood ,1948-08-12
Sonya Sones ,none
Julia Serano ,none
Dave Boling ,none
Kelly Bingham,none
Anthony McGowan,1965-01-01
Jiří Kulhánek,none
Joel Ponzio,none
Melissa Foster ,none
Diane Haeger ,none
Julian Darius ,none
Jessica Anthony,none
David Grossman,1954-01-25
Laurel Bradley ,none
Phoebe Gilman,1940-04-04
Josh Bazell,none
Eric J. Gates ,none
J.T. LeRoy,none
William Lidwell,none
Kathleen Shoop ,none
Weston A. Price,1870-09-06
Bernhard Hennen,none
Orly Castel-Bloom,none
Jo Knowles ,none
Liesl Shurtliff ,none
David Dalglish ,none
S.E. Hall ,none
Kat Richardson ,1964-05-22
Austin Aslan ,none
Herman Wouk,1915-05-27
D.B. Tarpley ,none
Mila Gray,none
The RZA,1969-07-05
Alice Sebold,1963-09-06
Michael Bar-Zohar,1938-01-30
Chris-Jean Clarke ,none
Peter Monn ,none
Danielle Esplin ,none
Lauren James ,2001-09-29
Kade Cook ,none
Pauline A. Chen ,none
Sarah Lyons Fleming ,none
Rachel Bach ,none
Cassandra Fear ,none
Ali Land,none
Nujeen Mustafa,none
Jennifer Anne Davis ,none
Jill Santopolo ,none
Marjorie M. Liu ,none
Ryan Holiday ,1987-06-16
Lyndsay Faye ,none
Lyssa Kay Adams ,none
Angela Y. Davis,1944-01-26
Sarah-Kate Lynch ,none
Jean Cocteau,1889-07-05
Paul Jenkins ,none
Muhammad Mustafa al-ʿAzami,none
Beth Gutcheon ,none
Beverly Jenkins ,none
John Christopher,1922-04-16
Belva Plain,1915-10-09
Sarah Mason,none
Tosca Lee ,1969-12-01
Maria McCann,none
Mary Wesley,none
Serena Anderlini-D'Onofrio,none
Robert Hellenga,1941-08-05
Richard Castle,none
Carol Ryrie Brink,1895-12-28
Andrew E. Maugham,none
Ron Currie Jr. ,none
Jeremy Narby,none
Nicci French,1959-05-28
Larry Watson ,none
Izzeldin Abuelaish,none
Andy Mulligan,none
Suzy McKee Charnas ,1939-10-22
Jean Sasson ,none
Sarah Rayner ,none
Jean Mead ,none
Jhonen Vásquez,none
Arthur Phillips ,1969-04-23
Charlie Huston,none
Tabitha Suzuma ,1975-02-02
Veniamin Kaverin,none
Paul Freeman ,none
Nel Ashley ,none
Graham McNeill,none
J. Cafesin ,none
Em Bailey ,none
Judith Merkle Riley,1942-01-14
Walter Dean Myers,1937-08-12
Dick Lehr,1954-05-03
Dan Jenkins,1928-12-02
Enrique de Hériz,none
Stephanie Hudson,none
Peter J. Story ,none
Max Cummings,none
Alfred Jarry,1873-09-08
René Descartes,1596-03-31
Taiyo Matsumoto,1967-10-25
Christie Golden,1963-11-21
William King ,none
Beth Reekles ,1995-06-07
Lynn Montagano ,none
Mika Waltari,1908-09-19
George Gissing,1857-11-22
Carol Antoinette Peacock ,none
William MacAskill ,1987-03-24
Beth Revis ,none
Richard Flanagan,none
Stephen Clarke,none
Steve Sheinkin,none
Elena Favilli ,1982-08-03
Kevin B. MacDonald,1944-01-24
Mervyn Peake,1911-07-09
Emiko Jean ,none
Viral Dalal ,none
Olga Tokarczuk,1962-01-29
Adib Khorram ,none
Susan Blackmore,1951-07-29
Victoria Lee ,2004-05-17
Kiran Nagarkar,1942-04-02
N.E. Bode,none
Janny Wurts ,1953-12-10
Hugh Nibley,1910-03-27
Paul Beatty,1962-06-09
Tyler Perry,1969-09-13
Antwone Quenton Fisher,1959-08-03
Jonathan Friesen ,none
Anthony Thorlby,none
Gennifer Choldenko ,1957-10-20
Richard Bradford,none
Tanya Huff,none
Holly Lisle ,none
Anthony Doerr ,1973-10-27
Michael H. Hart,1932-04-27
Wilfred Owen,none
Robert Brody,none
Ashley Sanders ,none
One Direction,none
Bruce D. Perry,none
Eric Knight,1897-04-10
Fauziya Kassindja,none
Matthew Cody ,none
Timber Hawkeye ,none
Brian W. Aldiss,1925-08-18
Sadie Jones,none
Leon Trotsky,1879-11-07
Lori L. Otto ,none
Gertrude Stein,1874-02-03
Makoto Shinkai,1973-02-09
John Lewis,1940-02-21
Kaitlin Bevis ,none
Garrett Leigh ,none
Gitty Daneshvari,none
Rachel Morgan ,none
Ruth Cardello ,none
Shashi Tharoor,1956-03-09
K.L. Randis ,none
Joey Goebel,1980-09-02
Dan Skinner ,1973-01-25
Steve McHugh ,none
Budd Schulberg,1914-03-27
Colm Tóibín,1955-05-30
Richard Adams,1920-05-09
Neil Abramson,none
Seth Godin,none
Joey Fehrman ,none
Anne-Marie Conway,none
Adam Steven Page ,none
Takaya Kagami ,1979-05-22
C.J. Redwine ,none
Leonard Susskind,1940-06-16
Timothy Conigrave,1959-11-19
Will Wight ,1989-08-11
Wendy Spinale ,none
Malala Yousafzai,1997-07-12
Jennifer Latham ,none
Sharlyn G. Branson ,none
Steven D. Orr ,none
Elie Wiesel,1928-09-30
C.G. Drews ,none
Max Porter,none
Walter Isaacson ,1952-05-20
Josh Waitzkin,1976-12-04
Bernardine Evaristo,1959-05-28
Haemin Sunim,1973-12-12
Helen Oyeyemi ,1984-12-10
Tracy Tresidder,none
David Halberstam,1934-04-10
Maylis de Kerangal,1967-06-16
J.V. Hart,none
Ivan Doig,1939-06-27
Wendy Markham ,none
Ian Rankin ,1960-04-28
Jennifer Kaufman ,none
Micaela Gilchrist,none
Lael Littke,none
Carol Shields,1935-06-02
Amanda Marrone ,none
Lawrence Block ,1938-06-24
Abra Ebner ,none
Kate Morgenroth,none
Mário de Andrade,1893-10-09
Bo Caldwell,none
Sarah Blake ,none
Mark Gatiss,1966-10-17
Annie Barrows,none
John Myers Myers,none
Abigail Reynolds ,none
Elizabeth Brundage,none
Ul De Rico,none
Kaira Rouda ,1963-05-17
Jorge Bucay,1949-10-30
Ravi Zacharias,1946-03-26
S.J. Day ,none
Jim Thompson,none
James Swallow ,none
Tracy Letts,1965-07-04
Patrick Lee ,none
Tony Dungy,1955-10-06
J.C. Burke ,none
Paul Rega ,none
Cameo Renae ,none
Stephen Jones ,none
Joyce Meyer,1943-06-04
Will Ferguson,1964-10-12
Claire Kent ,none
Diana Rowland ,none
Billy Collins,1941-03-22
J.F. Smith ,none
Aurora Whittet ,none
Erynn Mangum,none
Lydia Michaels ,none
Beatriz Williams ,none
Wally Lamb ,1950-10-17
Edward Kelsey Moore,none
S.A. Bodeen ,none
Brian Yorkey,none
Natasha Mostert ,none
Eimear McBride,none
Michelle Gagnon ,none
William Sirls ,none
Preeti Shenoy ,1971-12-21
Hélène Berr,none
Edward de Bono,1933-05-19
Albert Espinosa ,1973-11-05
Ivan Goncharov,1812-06-18
Ben Kane,1970-03-06
Lauren Blakely ,none
C.S. Pacat ,none
Alyssa B. Sheinmel ,none
William Lane Craig,1949-08-23
Lilly Singh,1988-09-26
Robert M. Sapolsky,1957-04-06
Martin Booth,1944-09-07
Sarah Beth Durst ,1974-05-23
Jocko Willink ,1971-09-08
Robert Beatty ,1909-10-19
Gita Trelease ,none
Rebecca Schaeffer ,1967-11-06
Kiran Bhat ,none
Karen Rose ,none
Kevin Eastman,1962-05-30
